Orthogroup	Chordata_Amphioxiformes_Branchiostoma_floridae	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000000	Branchiostoma_floridae_tr_A0A9J7LIZ7_A0A9J7LIZ7_BRAFL tr|A0A9J7LIZ7|A0A9J7LIZ7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118420403 PE=4 SV=1	Nematostella_vectensis_NV2t014110001.1 NV2t014110001.1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MDK7_A0A9J7MDK7_BRAFL tr|A0A9J7MDK7|A0A9J7MDK7_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118431943 PE=4 SV=1	Nematostella_vectensis_NV2t012138004.1 NV2t012138004.1, Nematostella_vectensis_NV2t012138001.1 NV2t012138001.1
OG0000000	Branchiostoma_floridae_tr_A0A9J7KUW6_A0A9J7KUW6_BRAFL tr|A0A9J7KUW6|A0A9J7KUW6_BRAFL Collagen alpha-1_XVII_ chain-like OS=Branchiostoma floridae OX=7739 GN=LOC118411872 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTF0_A0A9J7KTF0_BRAFL tr|A0A9J7KTF0|A0A9J7KTF0_BRAFL Collagen alpha-1_I_ chain-like OS=Branchiostoma floridae OX=7739 GN=LOC118411862 PE=4 SV=1	Nematostella_vectensis_NV2t011374001.1 NV2t011374001.1
OG0000000	Branchiostoma_floridae_tr_A0A9J7L7S9_A0A9J7L7S9_BRAFL tr|A0A9J7L7S9|A0A9J7L7S9_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118416523 PE=4 SV=1	Nematostella_vectensis_NV2t025469001.1 NV2t025469001.1
OG0000000	Branchiostoma_floridae_tr_A0A9J7N0A1_A0A9J7N0A1_BRAFL tr|A0A9J7N0A1|A0A9J7N0A1_BRAFL Uncharacterized protein LOC118421761 OS=Branchiostoma floridae OX=7739 GN=LOC118421761 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZB8_A0A9J7MZB8_BRAFL tr|A0A9J7MZB8|A0A9J7MZB8_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421299 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY72_A0A9J7MY72_BRAFL tr|A0A9J7MY72|A0A9J7MY72_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421300 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNR3_A0A9J7LNR3_BRAFL tr|A0A9J7LNR3|A0A9J7LNR3_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421760 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL47_A0A9J7LL47_BRAFL tr|A0A9J7LL47|A0A9J7LL47_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421615 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MF63_A0A9J7MF63_BRAFL tr|A0A9J7MF63|A0A9J7MF63_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431928 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MC07_A0A9J7MC07_BRAFL tr|A0A9J7MC07|A0A9J7MC07_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118431100 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAD2_A0A9J7MAD2_BRAFL tr|A0A9J7MAD2|A0A9J7MAD2_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118430281 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MWL1_A0A9J7MWL1_BRAFL tr|A0A9J7MWL1|A0A9J7MWL1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421173 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL70_A0A9J7LL70_BRAFL tr|A0A9J7LL70|A0A9J7LL70_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY04_A0A9J7MY04_BRAFL tr|A0A9J7MY04|A0A9J7MY04_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118421176 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ66_A0A9J7MZ66_BRAFL tr|A0A9J7MZ66|A0A9J7MZ66_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421175 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LJY3_A0A9J7LJY3_BRAFL tr|A0A9J7LJY3|A0A9J7LJY3_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421177 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ41_A0A9J7MZ41_BRAFL tr|A0A9J7MZ41|A0A9J7MZ41_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421102 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LM23_A0A9J7LM23_BRAFL tr|A0A9J7LM23|A0A9J7LM23_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421181 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRW3_A0A9J7LRW3_BRAFL tr|A0A9J7LRW3|A0A9J7LRW3_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423398 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYB9_A0A9J7MYB9_BRAFL tr|A0A9J7MYB9|A0A9J7MYB9_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421402 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HW56_A0A9J7HW56_BRAFL tr|A0A9J7HW56|A0A9J7HW56_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118408877 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N0I8_A0A9J7N0I8_BRAFL tr|A0A9J7N0I8|A0A9J7N0I8_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422273 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ57_A0A9J7LQ57_BRAFL tr|A0A9J7LQ57|A0A9J7LQ57_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422563 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ44_A0A9J7LQ44_BRAFL tr|A0A9J7LQ44|A0A9J7LQ44_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422564 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNA7_A0A9J7LNA7_BRAFL tr|A0A9J7LNA7|A0A9J7LNA7_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422559 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRV7_A0A9J7LRV7_BRAFL tr|A0A9J7LRV7|A0A9J7LRV7_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423194 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LT20_A0A9J7LT20_BRAFL tr|A0A9J7LT20|A0A9J7LT20_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423617 PE=4 SV=1	Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1
OG0000000	Branchiostoma_floridae_tr_A0A9J7N926_A0A9J7N926_BRAFL tr|A0A9J7N926|A0A9J7N926_BRAFL Uncharacterized protein LOC118430604 OS=Branchiostoma floridae OX=7739 GN=LOC118430604 PE=4 SV=1	Nematostella_vectensis_NV2t019779002.1 NV2t019779002.1
OG0000000	Branchiostoma_floridae_tr_A0A9J7HIT6_A0A9J7HIT6_BRAFL tr|A0A9J7HIT6|A0A9J7HIT6_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118404148 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HLS3_A0A9J7HLS3_BRAFL tr|A0A9J7HLS3|A0A9J7HLS3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118406154 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5V3_A0A9J7M5V3_BRAFL tr|A0A9J7M5V3|A0A9J7M5V3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118428694 PE=4 SV=1, Branchiostoma_floridae_tr_C3Z9N5_C3Z9N5_BRAFL tr|C3Z9N5|C3Z9N5_BRAFL Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KGQ6_A0A9J7KGQ6_BRAFL tr|A0A9J7KGQ6|A0A9J7KGQ6_BRAFL Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KFN4_A0A9J7KFN4_BRAFL tr|A0A9J7KFN4|A0A9J7KFN4_BRAFL Microfibril-associated glycoprotein 4-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7ML58_A0A9J7ML58_BRAFL tr|A0A9J7ML58|A0A9J7ML58_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118412446 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MLB1_A0A9J7MLB1_BRAFL tr|A0A9J7MLB1|A0A9J7MLB1_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118412444 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KU53_A0A9J7KU53_BRAFL tr|A0A9J7KU53|A0A9J7KU53_BRAFL LOW QUALITY PROTEIN_ ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118411679 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KUI2_A0A9J7KUI2_BRAFL tr|A0A9J7KUI2|A0A9J7KUI2_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118412231 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MJ34_A0A9J7MJ34_BRAFL tr|A0A9J7MJ34|A0A9J7MJ34_BRAFL Fibroleukin-like OS=Branchiostoma floridae OX=7739 GN=LOC118411206 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M8P2_A0A9J7M8P2_BRAFL tr|A0A9J7M8P2|A0A9J7M8P2_BRAFL LOW QUALITY PROTEIN_ fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118430235 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KV88_A0A9J7KV88_BRAFL tr|A0A9J7KV88|A0A9J7KV88_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118412452 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLG5_A0A9J7LLG5_BRAFL tr|A0A9J7LLG5|A0A9J7LLG5_BRAFL Uncharacterized protein LOC118421508 OS=Branchiostoma floridae OX=7739 GN=LOC118421508 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LK76_A0A9J7LK76_BRAFL tr|A0A9J7LK76|A0A9J7LK76_BRAFL Uncharacterized protein LOC118421237 OS=Branchiostoma floridae OX=7739 GN=LOC118421237 PE=4 SV=1	Nematostella_vectensis_NV2t005688002.1 NV2t005688002.1, Nematostella_vectensis_NV2t005688001.1 NV2t005688001.1, Nematostella_vectensis_NV2t005687001.1 NV2t005687001.1, Nematostella_vectensis_NV2t006013001.1 NV2t006013001.1, Nematostella_vectensis_NV2t006016001.1 NV2t006016001.1, Nematostella_vectensis_NV2t006010001.1 NV2t006010001.1, Nematostella_vectensis_NV2t006015001.1 NV2t006015001.1, Nematostella_vectensis_NV2t006014001.1 NV2t006014001.1, Nematostella_vectensis_NV2t006014002.1 NV2t006014002.1
OG0000000	Branchiostoma_floridae_tr_A0A9J7KW45_A0A9J7KW45_BRAFL tr|A0A9J7KW45|A0A9J7KW45_BRAFL Uncharacterized protein LOC118412713 OS=Branchiostoma floridae OX=7739 GN=LOC118412713 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7M3S0_A0A9J7M3S0_BRAFL tr|A0A9J7M3S0|A0A9J7M3S0_BRAFL Angiopoietin-related protein 2-like OS=Branchiostoma floridae OX=7739 GN=LOC118427718 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HSV3_A0A9J7HSV3_BRAFL tr|A0A9J7HSV3|A0A9J7HSV3_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118407468 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MCY7_A0A9J7MCY7_BRAFL tr|A0A9J7MCY7|A0A9J7MCY7_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118430807 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAJ8_A0A9J7NAJ8_BRAFL tr|A0A9J7NAJ8|A0A9J7NAJ8_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118430452 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M9E9_A0A9J7M9E9_BRAFL tr|A0A9J7M9E9|A0A9J7M9E9_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118430453 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HQ98_A0A9J7HQ98_BRAFL tr|A0A9J7HQ98|A0A9J7HQ98_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118407467 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HUF6_A0A9J7HUF6_BRAFL tr|A0A9J7HUF6|A0A9J7HUF6_BRAFL Angiopoietin-related protein 2-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118407825 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LSH7_A0A9J7LSH7_BRAFL tr|A0A9J7LSH7|A0A9J7LSH7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118423545 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KSC7_A0A9J7KSC7_BRAFL tr|A0A9J7KSC7|A0A9J7KSC7_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118411437 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTE2_A0A9J7KTE2_BRAFL tr|A0A9J7KTE2|A0A9J7KTE2_BRAFL Angiopoietin-related protein 2-like OS=Branchiostoma floridae OX=7739 GN=LOC118411858 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTS1_A0A9J7KTS1_BRAFL tr|A0A9J7KTS1|A0A9J7KTS1_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118411435 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTX9_A0A9J7KTX9_BRAFL tr|A0A9J7KTX9|A0A9J7KTX9_BRAFL Deleted in malignant brain tumors 1 protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118411866 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MJV0_A0A9J7MJV0_BRAFL tr|A0A9J7MJV0|A0A9J7MJV0_BRAFL Uncharacterized protein LOC118411865 OS=Branchiostoma floridae OX=7739 GN=LOC118411865 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MKE1_A0A9J7MKE1_BRAFL tr|A0A9J7MKE1|A0A9J7MKE1_BRAFL Scavenger receptor cysteine-rich domain superfamily protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118411813 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MKF6_A0A9J7MKF6_BRAFL tr|A0A9J7MKF6|A0A9J7MKF6_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118411856 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAW1_A0A9J7NAW1_BRAFL tr|A0A9J7NAW1|A0A9J7NAW1_BRAFL Angiopoietin-4-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118430451 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NBR5_A0A9J7NBR5_BRAFL tr|A0A9J7NBR5|A0A9J7NBR5_BRAFL Angiopoietin-4-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118430451 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HR55_A0A9J7HR55_BRAFL tr|A0A9J7HR55|A0A9J7HR55_BRAFL Uncharacterized protein LOC118407816 OS=Branchiostoma floridae OX=7739 GN=LOC118407816 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KKY6_A0A9J7KKY6_BRAFL tr|A0A9J7KKY6|A0A9J7KKY6_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118407819 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HTS9_A0A9J7HTS9_BRAFL tr|A0A9J7HTS9|A0A9J7HTS9_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118407826 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTF8_A0A9J7KTF8_BRAFL tr|A0A9J7KTF8|A0A9J7KTF8_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118411875 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LVQ0_A0A9J7LVQ0_BRAFL tr|A0A9J7LVQ0|A0A9J7LVQ0_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118424735 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MJD6_A0A9J7MJD6_BRAFL tr|A0A9J7MJD6|A0A9J7MJD6_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118411440 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KU64_A0A9J7KU64_BRAFL tr|A0A9J7KU64|A0A9J7KU64_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118411426 PE=4 SV=1	Nematostella_vectensis_NV2t010046003.1 NV2t010046003.1, Nematostella_vectensis_NV2t010046002.1 NV2t010046002.1, Nematostella_vectensis_NV2t010046001.1 NV2t010046001.1
OG0000001	Branchiostoma_floridae_tr_A0A9J7MHE7_A0A9J7MHE7_BRAFL tr|A0A9J7MHE7|A0A9J7MHE7_BRAFL Laminin subunit alpha-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118410231 PE=4 SV=1	Nematostella_vectensis_NV2t024157001.1 NV2t024157001.1
OG0000001	Branchiostoma_floridae_tr_A0A9J7MK86_A0A9J7MK86_BRAFL tr|A0A9J7MK86|A0A9J7MK86_BRAFL Protogenin-like OS=Branchiostoma floridae OX=7739 GN=LOC118411915 PE=4 SV=1	Nematostella_vectensis_NV2t014222001.1 NV2t014222001.1, Nematostella_vectensis_NV2t014222002.1 NV2t014222002.1
