Orthogroup	Chordata_Vertebrata_Homo_sapiens	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000000	Homo_sapiens_sp_Q9Y264_ANGP4_HUMAN sp|Q9Y264|ANGP4_HUMAN Angiopoietin-4 OS=Homo sapiens OX=9606 GN=ANGPT4 PE=1 SV=1, Homo_sapiens_sp_Q15389_ANGP1_HUMAN sp|Q15389|ANGP1_HUMAN Angiopoietin-1 OS=Homo sapiens OX=9606 GN=ANGPT1 PE=1 SV=2	Morbakka_virulenta_scaffold713.g2.t2 scaffold713.g2.t2, Morbakka_virulenta_scaffold713.g2.t1 scaffold713.g2.t1, Morbakka_virulenta_scaffold16.g2.t1 scaffold16.g2.t1
OG0000001	Homo_sapiens_sp_Q13753_LAMC2_HUMAN sp|Q13753|LAMC2_HUMAN Laminin subunit gamma-2 OS=Homo sapiens OX=9606 GN=LAMC2 PE=1 SV=2	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2
OG0000001	Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1, Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2, Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Homo_sapiens_sp_Q96CW9_NTNG2_HUMAN sp|Q96CW9|NTNG2_HUMAN Netrin-G2 OS=Homo sapiens OX=9606 GN=NTNG2 PE=1 SV=2, Homo_sapiens_sp_Q9Y2I2_NTNG1_HUMAN sp|Q9Y2I2|NTNG1_HUMAN Netrin-G1 OS=Homo sapiens OX=9606 GN=NTNG1 PE=1 SV=3	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1, Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3
OG0000001	Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3, Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000002	Homo_sapiens_sp_P49747_COMP_HUMAN sp|P49747|COMP_HUMAN Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2, Homo_sapiens_sp_P49746_TSP3_HUMAN sp|P49746|TSP3_HUMAN Thrombospondin-3 OS=Homo sapiens OX=9606 GN=THBS3 PE=1 SV=1, Homo_sapiens_sp_P35443_TSP4_HUMAN sp|P35443|TSP4_HUMAN Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1
OG0000002	Homo_sapiens_sp_Q9H3T3_SEM6B_HUMAN sp|Q9H3T3|SEM6B_HUMAN Semaphorin-6B OS=Homo sapiens OX=9606 GN=SEMA6B PE=1 SV=4	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1
OG0000003	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1, Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2, Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1, Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1
OG0000004	Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1, Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1
OG0000004	Homo_sapiens_sp_Q2UY09_COSA1_HUMAN sp|Q2UY09|COSA1_HUMAN Collagen alpha-1_XXVIII_ chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=2 SV=2	Morbakka_virulenta_scaffold502.g1.t1 scaffold502.g1.t1
