Orthogroup	Chordata_Vertebrata_Homo_sapiens	Chordata_Amphioxiformes_Branchiostoma_lanceolatum
OG0000000	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3, Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3, Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2	Branchiostoma_lanceolatum_tr_A0A8K0ADV5_A0A8K0ADV5_BRALA tr|A0A8K0ADV5|A0A8K0ADV5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YXM4_A0A8J9YXM4_BRALA tr|A0A8J9YXM4|A0A8J9YXM4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZUC4_A0A8J9ZUC4_BRALA tr|A0A8J9ZUC4|A0A8J9ZUC4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU80_A0A8J9ZU80_BRALA tr|A0A8J9ZU80|A0A8J9ZU80_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZD86_A0A8J9ZD86_BRALA tr|A0A8J9ZD86|A0A8J9ZD86_BRALA FCN3 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEE7_A0A8J9ZEE7_BRALA tr|A0A8J9ZEE7|A0A8J9ZEE7_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YVS3_A0A8J9YVS3_BRALA tr|A0A8J9YVS3|A0A8J9YVS3_BRALA MEGF10 protein OS=Branchiostoma lanceolatum OX=7740 GN=MEGF10 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YVW9_A0A8J9YVW9_BRALA tr|A0A8J9YVW9|A0A8J9YVW9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2Y8_A0A8K0A2Y8_BRALA tr|A0A8K0A2Y8|A0A8K0A2Y8_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2N6_A0A8K0A2N6_BRALA tr|A0A8K0A2N6|A0A8K0A2N6_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A5F9_A0A8K0A5F9_BRALA tr|A0A8K0A5F9|A0A8K0A5F9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EUG9_A0A8K0EUG9_BRALA tr|A0A8K0EUG9|A0A8K0EUG9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ECH5_A0A8K0ECH5_BRALA tr|A0A8K0ECH5|A0A8K0ECH5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZK72_A0A8J9ZK72_BRALA tr|A0A8J9ZK72|A0A8J9ZK72_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZY15_A0A8J9ZY15_BRALA tr|A0A8J9ZY15|A0A8J9ZY15_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A955_A0A8K0A955_BRALA tr|A0A8K0A955|A0A8K0A955_BRALA PKD1L3 protein OS=Branchiostoma lanceolatum OX=7740 GN=PKD1L3 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YR05_A0A8J9YR05_BRALA tr|A0A8J9YR05|A0A8J9YR05_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W7G3_A0A8J9W7G3_BRALA tr|A0A8J9W7G3|A0A8J9W7G3_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YMB2_A0A8J9YMB2_BRALA tr|A0A8J9YMB2|A0A8J9YMB2_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W4J7_A0A8J9W4J7_BRALA tr|A0A8J9W4J7|A0A8J9W4J7_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRQ3_A0A8J9YRQ3_BRALA tr|A0A8J9YRQ3|A0A8J9YRQ3_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YNX7_A0A8J9YNX7_BRALA tr|A0A8J9YNX7|A0A8J9YNX7_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VRN1_A0A8J9VRN1_BRALA tr|A0A8J9VRN1|A0A8J9VRN1_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WGD3_A0A8J9WGD3_BRALA tr|A0A8J9WGD3|A0A8J9WGD3_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YQ16_A0A8J9YQ16_BRALA tr|A0A8J9YQ16|A0A8J9YQ16_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VIQ1_A0A8J9VIQ1_BRALA tr|A0A8J9VIQ1|A0A8J9VIQ1_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VXU5_A0A8J9VXU5_BRALA tr|A0A8J9VXU5|A0A8J9VXU5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1B6_A0A8K0A1B6_BRALA tr|A0A8K0A1B6|A0A8K0A1B6_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z2P2_A0A8J9Z2P2_BRALA tr|A0A8J9Z2P2|A0A8J9Z2P2_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E9U2_A0A8K0E9U2_BRALA tr|A0A8K0E9U2|A0A8K0E9U2_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AE29_A0A8K0AE29_BRALA tr|A0A8K0AE29|A0A8K0AE29_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EXY2_A0A8K0EXY2_BRALA tr|A0A8K0EXY2|A0A8K0EXY2_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2X0_A0A8K0F2X0_BRALA tr|A0A8K0F2X0|A0A8K0F2X0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F0K4_A0A8K0F0K4_BRALA tr|A0A8K0F0K4|A0A8K0F0K4_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W200_A0A8J9W200_BRALA tr|A0A8J9W200|A0A8J9W200_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YQU6_A0A8J9YQU6_BRALA tr|A0A8J9YQU6|A0A8J9YQU6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WF00_A0A8J9WF00_BRALA tr|A0A8J9WF00|A0A8J9WF00_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YQX3_A0A8J9YQX3_BRALA tr|A0A8J9YQX3|A0A8J9YQX3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZQQ3_A0A8J9ZQQ3_BRALA tr|A0A8J9ZQQ3|A0A8J9ZQQ3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E5S9_A0A8K0E5S9_BRALA tr|A0A8K0E5S9|A0A8K0E5S9_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A0Q2_A0A8K0A0Q2_BRALA tr|A0A8K0A0Q2|A0A8K0A0Q2_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VAX2_A0A8J9VAX2_BRALA tr|A0A8J9VAX2|A0A8J9VAX2_BRALA CACNA2D1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CACNA2D1 PE=4 SV=1
OG0000000	Homo_sapiens_sp_P02671_FIBA_HUMAN sp|P02671|FIBA_HUMAN Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	Branchiostoma_lanceolatum_tr_A0A8J9ZFC5_A0A8J9ZFC5_BRALA tr|A0A8J9ZFC5|A0A8J9ZFC5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z5H0_A0A8J9Z5H0_BRALA tr|A0A8J9Z5H0|A0A8J9Z5H0_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z4V6_A0A8J9Z4V6_BRALA tr|A0A8J9Z4V6|A0A8J9Z4V6_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1
OG0000000	Homo_sapiens_sp_P02675_FIBB_HUMAN sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2, Homo_sapiens_sp_P02679_FIBG_HUMAN sp|P02679|FIBG_HUMAN Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	Branchiostoma_lanceolatum_tr_A0A8J9ZV94_A0A8J9ZV94_BRALA tr|A0A8J9ZV94|A0A8J9ZV94_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZV95_A0A8J9ZV95_BRALA tr|A0A8J9ZV95|A0A8J9ZV95_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZYE6_A0A8J9ZYE6_BRALA tr|A0A8J9ZYE6|A0A8J9ZYE6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EVJ5_A0A8K0EVJ5_BRALA tr|A0A8K0EVJ5|A0A8K0EVJ5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZXV7_A0A8J9ZXV7_BRALA tr|A0A8J9ZXV7|A0A8J9ZXV7_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EPW9_A0A8K0EPW9_BRALA tr|A0A8K0EPW9|A0A8K0EPW9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESC6_A0A8K0ESC6_BRALA tr|A0A8K0ESC6|A0A8K0ESC6_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWR0_A0A8J9ZWR0_BRALA tr|A0A8J9ZWR0|A0A8J9ZWR0_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ENU0_A0A8K0ENU0_BRALA tr|A0A8K0ENU0|A0A8K0ENU0_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AB27_A0A8K0AB27_BRALA tr|A0A8K0AB27|A0A8K0AB27_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V9B6_A0A8J9V9B6_BRALA tr|A0A8J9V9B6|A0A8J9V9B6_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2F4_A0A8K0F2F4_BRALA tr|A0A8K0F2F4|A0A8K0F2F4_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1
OG0000000	Homo_sapiens_sp_Q9UKU9_ANGL2_HUMAN sp|Q9UKU9|ANGL2_HUMAN Angiopoietin-related protein 2 OS=Homo sapiens OX=9606 GN=ANGPTL2 PE=1 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0EZW6_A0A8K0EZW6_BRALA tr|A0A8K0EZW6|A0A8K0EZW6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EKT5_A0A8K0EKT5_BRALA tr|A0A8K0EKT5|A0A8K0EKT5_BRALA ANGPT1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHL1_A0A8K0AHL1_BRALA tr|A0A8K0AHL1|A0A8K0AHL1_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1
OG0000000	Homo_sapiens_sp_Q9Y264_ANGP4_HUMAN sp|Q9Y264|ANGP4_HUMAN Angiopoietin-4 OS=Homo sapiens OX=9606 GN=ANGPT4 PE=1 SV=1, Homo_sapiens_sp_Q15389_ANGP1_HUMAN sp|Q15389|ANGP1_HUMAN Angiopoietin-1 OS=Homo sapiens OX=9606 GN=ANGPT1 PE=1 SV=2	Branchiostoma_lanceolatum_tr_A0A8K0EH02_A0A8K0EH02_BRALA tr|A0A8K0EH02|A0A8K0EH02_BRALA PRSS12 protein OS=Branchiostoma lanceolatum OX=7740 GN=PRSS12 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBE2_A0A8K0EBE2_BRALA tr|A0A8K0EBE2|A0A8K0EBE2_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESH8_A0A8K0ESH8_BRALA tr|A0A8K0ESH8|A0A8K0ESH8_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V6V4_A0A8J9V6V4_BRALA tr|A0A8J9V6V4|A0A8J9V6V4_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YLN3_A0A8J9YLN3_BRALA tr|A0A8J9YLN3|A0A8J9YLN3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EEM1_A0A8K0EEM1_BRALA tr|A0A8K0EEM1|A0A8K0EEM1_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBR4_A0A8K0EBR4_BRALA tr|A0A8K0EBR4|A0A8K0EBR4_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VG98_A0A8J9VG98_BRALA tr|A0A8J9VG98|A0A8J9VG98_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YLY9_A0A8J9YLY9_BRALA tr|A0A8J9YLY9|A0A8J9YLY9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YR09_A0A8J9YR09_BRALA tr|A0A8J9YR09|A0A8J9YR09_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VX66_A0A8J9VX66_BRALA tr|A0A8J9VX66|A0A8J9VX66_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V5P3_A0A8J9V5P3_BRALA tr|A0A8J9V5P3|A0A8J9V5P3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z3X3_A0A8J9Z3X3_BRALA tr|A0A8J9Z3X3|A0A8J9Z3X3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VHX0_A0A8J9VHX0_BRALA tr|A0A8J9VHX0|A0A8J9VHX0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WBK5_A0A8J9WBK5_BRALA tr|A0A8J9WBK5|A0A8J9WBK5_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1
OG0000000	Homo_sapiens_sp_Q9BY76_ANGL4_HUMAN sp|Q9BY76|ANGL4_HUMAN Angiopoietin-related protein 4 OS=Homo sapiens OX=9606 GN=ANGPTL4 PE=1 SV=2, Homo_sapiens_sp_Q9Y5C1_ANGL3_HUMAN sp|Q9Y5C1|ANGL3_HUMAN Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZNS0_A0A8J9ZNS0_BRALA tr|A0A8J9ZNS0|A0A8J9ZNS0_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z1K0_A0A8J9Z1K0_BRALA tr|A0A8J9Z1K0|A0A8J9Z1K0_BRALA ANGPT1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT1 PE=4 SV=1
OG0000000	Homo_sapiens_sp_Q14314_FGL2_HUMAN sp|Q14314|FGL2_HUMAN Fibroleukin OS=Homo sapiens OX=9606 GN=FGL2 PE=1 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZX78_A0A8J9ZX78_BRALA tr|A0A8J9ZX78|A0A8J9ZX78_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EPZ9_A0A8K0EPZ9_BRALA tr|A0A8K0EPZ9|A0A8K0EPZ9_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1
OG0000001	Homo_sapiens_sp_Q9HB63_NET4_HUMAN sp|Q9HB63|NET4_HUMAN Netrin-4 OS=Homo sapiens OX=9606 GN=NTN4 PE=1 SV=2	Branchiostoma_lanceolatum_tr_A0A8K0EX25_A0A8K0EX25_BRALA tr|A0A8K0EX25|A0A8K0EX25_BRALA NTN4 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTN4 PE=4 SV=1
OG0000001	Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1, Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2, Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	Branchiostoma_lanceolatum_tr_A0A8K0A481_A0A8K0A481_BRALA tr|A0A8K0A481|A0A8K0A481_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1W6_A0A8K0A1W6_BRALA tr|A0A8K0A1W6|A0A8K0A1W6_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1K9_A0A8K0A1K9_BRALA tr|A0A8K0A1K9|A0A8K0A1K9_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ56_A0A8J9ZZ56_BRALA tr|A0A8J9ZZ56|A0A8J9ZZ56_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A0G1_A0A8K0A0G1_BRALA tr|A0A8K0A0G1|A0A8K0A0G1_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ61_A0A8J9ZZ61_BRALA tr|A0A8J9ZZ61|A0A8J9ZZ61_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1
OG0000001	Homo_sapiens_sp_P02751_FINC_HUMAN sp|P02751|FINC_HUMAN Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5	Branchiostoma_lanceolatum_tr_A0A8K0AFB4_A0A8K0AFB4_BRALA tr|A0A8K0AFB4|A0A8K0AFB4_BRALA TNN protein OS=Branchiostoma lanceolatum OX=7740 GN=TNN PE=4 SV=1
