Orthogroup	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Coturnix_japonica
OG0000000	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3	Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2	Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]
OG0000000	Homo_sapiens_sp_P55083_MFAP4_HUMAN sp|P55083|MFAP4_HUMAN Microfibril-associated glycoprotein 4 OS=Homo sapiens OX=9606 GN=MFAP4 PE=1 SV=2, Homo_sapiens_sp_O00602_FCN1_HUMAN sp|O00602|FCN1_HUMAN Ficolin-1 OS=Homo sapiens OX=9606 GN=FCN1 PE=1 SV=2, Homo_sapiens_sp_Q15485_FCN2_HUMAN sp|Q15485|FCN2_HUMAN Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2, Homo_sapiens_sp_O75636_FCN3_HUMAN sp|O75636|FCN3_HUMAN Ficolin-3 OS=Homo sapiens OX=9606 GN=FCN3 PE=1 SV=2	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]
OG0000000	Homo_sapiens_sp_P02671_FIBA_HUMAN sp|P02671|FIBA_HUMAN Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	Coturnix_japonica_XP_015716417.1 fibrinogen alpha chain [Coturnix japonica]
OG0000000	Homo_sapiens_sp_P02675_FIBB_HUMAN sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	Coturnix_japonica_XP_015716415.1 fibrinogen beta chain [Coturnix japonica]
OG0000000	Homo_sapiens_sp_P02679_FIBG_HUMAN sp|P02679|FIBG_HUMAN Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	Coturnix_japonica_XP_015716494.1 fibrinogen gamma chain [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q08830_FGL1_HUMAN sp|Q08830|FGL1_HUMAN Fibrinogen-like protein 1 OS=Homo sapiens OX=9606 GN=FGL1 PE=1 SV=3	Coturnix_japonica_XP_015717701.1 fibrinogen-like protein 1 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q9UKU9_ANGL2_HUMAN sp|Q9UKU9|ANGL2_HUMAN Angiopoietin-related protein 2 OS=Homo sapiens OX=9606 GN=ANGPTL2 PE=1 SV=1	Coturnix_japonica_XP_015734889.1 angiopoietin-related protein 2 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q9Y264_ANGP4_HUMAN sp|Q9Y264|ANGP4_HUMAN Angiopoietin-4 OS=Homo sapiens OX=9606 GN=ANGPT4 PE=1 SV=1	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q15389_ANGP1_HUMAN sp|Q15389|ANGP1_HUMAN Angiopoietin-1 OS=Homo sapiens OX=9606 GN=ANGPT1 PE=1 SV=2	Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q9BY76_ANGL4_HUMAN sp|Q9BY76|ANGL4_HUMAN Angiopoietin-related protein 4 OS=Homo sapiens OX=9606 GN=ANGPTL4 PE=1 SV=2	Coturnix_japonica_XP_015741945.1 angiopoietin-related protein 4 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q9Y5C1_ANGL3_HUMAN sp|Q9Y5C1|ANGL3_HUMAN Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1	Coturnix_japonica_XP_015726184.1 angiopoietin-related protein 3 [Coturnix japonica]
OG0000000	Homo_sapiens_sp_Q14314_FGL2_HUMAN sp|Q14314|FGL2_HUMAN Fibroleukin OS=Homo sapiens OX=9606 GN=FGL2 PE=1 SV=1	Coturnix_japonica_XP_015738452.1 fibroleukin [Coturnix japonica]
OG0000000	Homo_sapiens_sp_P22105_TENX_HUMAN sp|P22105|TENX_HUMAN Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5	Coturnix_japonica_XP_015734076.1 PREDICTED_ tenascin-X [Coturnix japonica]
OG0000001	Homo_sapiens_sp_Q13753_LAMC2_HUMAN sp|Q13753|LAMC2_HUMAN Laminin subunit gamma-2 OS=Homo sapiens OX=9606 GN=LAMC2 PE=1 SV=2	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_Q9HB63_NET4_HUMAN sp|Q9HB63|NET4_HUMAN Netrin-4 OS=Homo sapiens OX=9606 GN=NTN4 PE=1 SV=2	Coturnix_japonica_XP_015714020.1 netrin-4 isoform X2 [Coturnix japonica]
