Orthogroup	Chordata_Vertebrata_Homo_sapiens	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000001	Homo_sapiens_sp_Q9HB63_NET4_HUMAN sp|Q9HB63|NET4_HUMAN Netrin-4 OS=Homo sapiens OX=9606 GN=NTN4 PE=1 SV=2, Homo_sapiens_sp_Q13751_LAMB3_HUMAN sp|Q13751|LAMB3_HUMAN Laminin subunit beta-3 OS=Homo sapiens OX=9606 GN=LAMB3 PE=1 SV=1, Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1, Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2, Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	Trichoplax_specH2_tr_A0A369SGJ7_A0A369SGJ7_9METZ tr|A0A369SGJ7|A0A369SGJ7_9METZ Laminin subunit beta-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001775 PE=4 SV=1
OG0000001	Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3, Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1
OG0000002	Homo_sapiens_sp_Q9H3T3_SEM6B_HUMAN sp|Q9H3T3|SEM6B_HUMAN Semaphorin-6B OS=Homo sapiens OX=9606 GN=SEMA6B PE=1 SV=4	Trichoplax_specH2_tr_A0A369SGE8_A0A369SGE8_9METZ tr|A0A369SGE8|A0A369SGE8_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002776 PE=3 SV=1
OG0000010	Homo_sapiens_sp_Q6WRI0_IGS10_HUMAN sp|Q6WRI0|IGS10_HUMAN Immunoglobulin superfamily member 10 OS=Homo sapiens OX=9606 GN=IGSF10 PE=1 SV=1, Homo_sapiens_sp_Q9NR99_MXRA5_HUMAN sp|Q9NR99|MXRA5_HUMAN Matrix-remodeling-associated protein 5 OS=Homo sapiens OX=9606 GN=MXRA5 PE=1 SV=3	Trichoplax_specH2_tr_A0A369RVV2_A0A369RVV2_9METZ tr|A0A369RVV2|A0A369RVV2_9METZ Neural cell adhesion molecule 2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010641 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWI3_A0A369RWI3_9METZ tr|A0A369RWI3|A0A369RWI3_9METZ Protein sax-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010638 PE=4 SV=1
OG0000010	Homo_sapiens_sp_Q5T1H1_EYS_HUMAN sp|Q5T1H1|EYS_HUMAN Protein eyes shut homolog OS=Homo sapiens OX=9606 GN=EYS PE=1 SV=5, Homo_sapiens_sp_P98160_PGBM_HUMAN sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4, Homo_sapiens_sp_Q63HQ2_EGFLA_HUMAN sp|Q63HQ2|EGFLA_HUMAN Pikachurin OS=Homo sapiens OX=9606 GN=EGFLAM PE=1 SV=2	Trichoplax_specH2_tr_A0A369SBT0_A0A369SBT0_9METZ tr|A0A369SBT0|A0A369SBT0_9METZ Agrin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004613 PE=4 SV=1
OG0000010	Homo_sapiens_sp_P19883_FST_HUMAN sp|P19883|FST_HUMAN Follistatin OS=Homo sapiens OX=9606 GN=FST PE=1 SV=2, Homo_sapiens_sp_O95633_FSTL3_HUMAN sp|O95633|FSTL3_HUMAN Follistatin-related protein 3 OS=Homo sapiens OX=9606 GN=FSTL3 PE=1 SV=1	Trichoplax_specH2_tr_A0A369SGZ7_A0A369SGZ7_9METZ tr|A0A369SGZ7|A0A369SGZ7_9METZ Follistatin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002122 PE=4 SV=1
OG0000011	Homo_sapiens_sp_P26927_HGFL_HUMAN sp|P26927|HGFL_HUMAN Hepatocyte growth factor-like protein OS=Homo sapiens OX=9606 GN=MST1 PE=1 SV=2, Homo_sapiens_sp_Q2TV78_MST1L_HUMAN sp|Q2TV78|MST1L_HUMAN Putative macrophage stimulating 1-like protein OS=Homo sapiens OX=9606 GN=MST1L PE=2 SV=2, Homo_sapiens_sp_P14210_HGF_HUMAN sp|P14210|HGF_HUMAN Hepatocyte growth factor OS=Homo sapiens OX=9606 GN=HGF PE=1 SV=2	Trichoplax_specH2_tr_A0A369SG72_A0A369SG72_9METZ tr|A0A369SG72|A0A369SG72_9METZ Plasminogen OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001906 PE=4 SV=1
OG0000011	Homo_sapiens_sp_Q96FE7_P3IP1_HUMAN sp|Q96FE7|P3IP1_HUMAN Phosphoinositide-3-kinase-interacting protein 1 OS=Homo sapiens OX=9606 GN=PIK3IP1 PE=1 SV=2	Trichoplax_specH2_tr_A0A369RV82_A0A369RV82_9METZ tr|A0A369RV82|A0A369RV82_9METZ Kremen protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007833 PE=4 SV=1
OG0000012	Homo_sapiens_sp_A2VEC9_SSPO_HUMAN sp|A2VEC9|SSPO_HUMAN SCO-spondin OS=Homo sapiens OX=9606 GN=SSPOP PE=2 SV=2	Trichoplax_specH2_tr_A0A369RVP1_A0A369RVP1_9METZ tr|A0A369RVP1|A0A369RVP1_9METZ SCO-spondin _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008599 PE=4 SV=1
OG0000012	Homo_sapiens_sp_Q8N8U9_BMPER_HUMAN sp|Q8N8U9|BMPER_HUMAN BMP-binding endothelial regulator protein OS=Homo sapiens OX=9606 GN=BMPER PE=1 SV=3, Homo_sapiens_sp_Q96DN2_VWCE_HUMAN sp|Q96DN2|VWCE_HUMAN von Willebrand factor C and EGF domain-containing protein OS=Homo sapiens OX=9606 GN=VWCE PE=1 SV=2	Trichoplax_specH2_tr_A0A369RVG2_A0A369RVG2_9METZ tr|A0A369RVG2|A0A369RVG2_9METZ BMP-binding endothelial regulator protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010308 PE=4 SV=1
