Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Porites_asteroides
OG0000000	Stylophora_pistillata_Spis23020 Spis23020 SpisGene23020	Porites_asteroides_isotig06298 isotig06298 extracted_CDS gene=isogroup04566 length=931 numContigs=1
OG0000000	Stylophora_pistillata_Spis20835 Spis20835 SpisGene20835	Porites_asteroides_GCKDGN103G3H3D GCKDGN103G3H3D extracted_CDS GOMatch=C3XRU3 GOTerms=GO_0005102_GO_0005615_GO_0007165 length=440 region=3 run=R_2010_02_19_08_49_25_ xy=2793_0711
OG0000000	Stylophora_pistillata_Spis12602 Spis12602 SpisGene12602, Stylophora_pistillata_Spis16434 Spis16434 SpisGene16434	Porites_asteroides_isotig21537 isotig21537 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Techylectin-5B_ Match_Acc=Q9U8W7 gene=isogroup19805 length=373 numContigs=1
OG0000000	Stylophora_pistillata_Spis18042 Spis18042 SpisGene18042, Stylophora_pistillata_Spis22993 Spis22993 SpisGene22993	Porites_asteroides_isotig30225 isotig30225 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup28493 length=223 numContigs=1
OG0000000	Stylophora_pistillata_Spis9885 Spis9885 SpisGene9885, Stylophora_pistillata_Spis22619 Spis22619 SpisGene22619, Stylophora_pistillata_Spis22620 Spis22620 SpisGene22620, Stylophora_pistillata_Spis24695 Spis24695 SpisGene24695, Stylophora_pistillata_Spis17676 Spis17676 SpisGene17676, Stylophora_pistillata_Spis13935 Spis13935 SpisGene13935, Stylophora_pistillata_Spis10579 Spis10579 SpisGene10579, Stylophora_pistillata_Spis22545 Spis22545 SpisGene22545, Stylophora_pistillata_Spis24864 Spis24864 SpisGene24864, Stylophora_pistillata_Spis19503 Spis19503 SpisGene19503, Stylophora_pistillata_Spis12490 Spis12490 SpisGene12490, Stylophora_pistillata_Spis12489 Spis12489 SpisGene12489, Stylophora_pistillata_Spis19236 Spis19236 SpisGene19236, Stylophora_pistillata_Spis19237 Spis19237 SpisGene19237, Stylophora_pistillata_Spis22546 Spis22546 SpisGene22546, Stylophora_pistillata_Spis24624 Spis24624 SpisGene24624, Stylophora_pistillata_Spis19239 Spis19239 SpisGene19239, Stylophora_pistillata_Spis13910 Spis13910 SpisGene13910	Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1
OG0000000	Stylophora_pistillata_Spis12307 Spis12307 SpisGene12307, Stylophora_pistillata_Spis23976 Spis23976 SpisGene23976, Stylophora_pistillata_Spis12306 Spis12306 SpisGene12306, Stylophora_pistillata_Spis23675 Spis23675 SpisGene23675, Stylophora_pistillata_Spis5600 Spis5600 SpisGene5600, Stylophora_pistillata_Spis12603 Spis12603 SpisGene12603	Porites_asteroides_isotig11115 isotig11115 extracted_CDS GOMatch=A7SR68 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup09383 length=615 numContigs=1
OG0000000	Stylophora_pistillata_Spis7189 Spis7189 SpisGene7189	Porites_asteroides_isotig00527 isotig00527 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup00135 length=1593 numContigs=3, Porites_asteroides_isotig00528 isotig00528 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup00135 length=1238 numContigs=3
OG0000000	Stylophora_pistillata_Spis1765 Spis1765 SpisGene1765, Stylophora_pistillata_Spis9969 Spis9969 SpisGene9969, Stylophora_pistillata_Spis23812 Spis23812 SpisGene23812, Stylophora_pistillata_Spis1776 Spis1776 SpisGene1776, Stylophora_pistillata_Spis1769 Spis1769 SpisGene1769, Stylophora_pistillata_Spis1768 Spis1768 SpisGene1768, Stylophora_pistillata_Spis12607 Spis12607 SpisGene12607, Stylophora_pistillata_Spis15870 Spis15870 SpisGene15870, Stylophora_pistillata_Spis21395 Spis21395 SpisGene21395, Stylophora_pistillata_Spis19397 Spis19397 SpisGene19397, Stylophora_pistillata_Spis22767 Spis22767 SpisGene22767	Porites_asteroides_isotig14916 isotig14916 extracted_CDS GOMatch=A7RST9 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Fgl2_protein__Fragment__ Match_Acc=Q32Q89 gene=isogroup13184 length=481 numContigs=1
OG0000000	Stylophora_pistillata_Spis24690 Spis24690 SpisGene24690	Porites_asteroides_isotig15725 isotig15725 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin_4_ Match_Acc=Q3V0P7 gene=isogroup13993 length=465 numContigs=1, Porites_asteroides_isotig19598 isotig19598 extracted_CDS GOMatch=A7SYM0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Angiopoietin-2_ Match_Acc=Q90Z18 gene=isogroup17866 length=402 numContigs=1
OG0000001	Stylophora_pistillata_Spis21911 Spis21911 SpisGene21911	Porites_asteroides_isotig32429 isotig32429 extracted_CDS GOMatch=Q2HXW4 GOTerms=GO_0001764_GO_0005576_GO_0005578_GO_0005604_GO_0005737_GO_0006915_GO_0007409_GO_0007411_GO_0008284_GO_0016337_GO_0030334_GO_0030517_GO_0030879_GO_0040023_GO_0045773_GO_0060603 Gene=Netrin__Fragment__ Match_Acc=Q0Q618 gene=isogroup30697 length=137 numContigs=1
