Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Anthozoa_Acropora_digitifera
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.8829 Ccrux.Trinity.8829	Acropora_digitifera_adi_v1.07747 adi_v1.07747
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.62736 Ccrux.Trinity.62736, Calvadosia_cruxmelitensis_Ccrux.Trinity.65381 Ccrux.Trinity.65381, Calvadosia_cruxmelitensis_Ccrux.Trinity.68930 Ccrux.Trinity.68930, Calvadosia_cruxmelitensis_Ccrux.Trinity.68932 Ccrux.Trinity.68932	Acropora_digitifera_adi_v1.24622 adi_v1.24622, Acropora_digitifera_adi_v1.06759 adi_v1.06759, Acropora_digitifera_adi_v1.21284 adi_v1.21284
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975	Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852	Acropora_digitifera_adi_v1.22096 adi_v1.22096, Acropora_digitifera_adi_v1.18297 adi_v1.18297, Acropora_digitifera_adi_v1.24356 adi_v1.24356, Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.70260 Ccrux.Trinity.70260, Calvadosia_cruxmelitensis_Ccrux.Trinity.62537 Ccrux.Trinity.62537, Calvadosia_cruxmelitensis_Ccrux.Trinity.39081 Ccrux.Trinity.39081	Acropora_digitifera_adi_v1.05260 adi_v1.05260, Acropora_digitifera_adi_v1.14266 adi_v1.14266, Acropora_digitifera_adi_v1.11270 adi_v1.11270, Acropora_digitifera_adi_v1.14265 adi_v1.14265
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421, Calvadosia_cruxmelitensis_Ccrux.Trinity.8636 Ccrux.Trinity.8636	Acropora_digitifera_adi_v1.06433 adi_v1.06433, Acropora_digitifera_adi_v1.03761 adi_v1.03761
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Acropora_digitifera_adi_v1.19636 adi_v1.19636
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.36673 Ccrux.Trinity.36673, Calvadosia_cruxmelitensis_Ccrux.Trinity.36672 Ccrux.Trinity.36672	Acropora_digitifera_adi_v1.01396 adi_v1.01396
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.12300 Ccrux.Trinity.12300, Calvadosia_cruxmelitensis_Ccrux.Trinity.12301 Ccrux.Trinity.12301	Acropora_digitifera_adi_v1.02555 adi_v1.02555
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.15286 Ccrux.Trinity.15286, Calvadosia_cruxmelitensis_Ccrux.Trinity.15288 Ccrux.Trinity.15288, Calvadosia_cruxmelitensis_Ccrux.Trinity.15287 Ccrux.Trinity.15287, Calvadosia_cruxmelitensis_Ccrux.Trinity.15289 Ccrux.Trinity.15289, Calvadosia_cruxmelitensis_Ccrux.Trinity.15290 Ccrux.Trinity.15290	Acropora_digitifera_adi_v1.16442 adi_v1.16442, Acropora_digitifera_adi_v1.14600 adi_v1.14600
