Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Chordata_Vertebrata_Danio_rerio
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.5902 Ccrux.Trinity.5902, Calvadosia_cruxmelitensis_Ccrux.Trinity.5900 Ccrux.Trinity.5900, Calvadosia_cruxmelitensis_Ccrux.Trinity.22425 Ccrux.Trinity.22425, Calvadosia_cruxmelitensis_Ccrux.Trinity.22427 Ccrux.Trinity.22427, Calvadosia_cruxmelitensis_Ccrux.Trinity.22430 Ccrux.Trinity.22430, Calvadosia_cruxmelitensis_Ccrux.Trinity.4328 Ccrux.Trinity.4328, Calvadosia_cruxmelitensis_Ccrux.Trinity.67978 Ccrux.Trinity.67978, Calvadosia_cruxmelitensis_Ccrux.Trinity.6801 Ccrux.Trinity.6801, Calvadosia_cruxmelitensis_Ccrux.Trinity.6795 Ccrux.Trinity.6795, Calvadosia_cruxmelitensis_Ccrux.Trinity.6803 Ccrux.Trinity.6803, Calvadosia_cruxmelitensis_Ccrux.Trinity.6805 Ccrux.Trinity.6805, Calvadosia_cruxmelitensis_Ccrux.Trinity.70576 Ccrux.Trinity.70576, Calvadosia_cruxmelitensis_Ccrux.Trinity.48270 Ccrux.Trinity.48270, Calvadosia_cruxmelitensis_Ccrux.Trinity.72284 Ccrux.Trinity.72284, Calvadosia_cruxmelitensis_Ccrux.Trinity.8829 Ccrux.Trinity.8829, Calvadosia_cruxmelitensis_Ccrux.Trinity.62736 Ccrux.Trinity.62736, Calvadosia_cruxmelitensis_Ccrux.Trinity.65381 Ccrux.Trinity.65381, Calvadosia_cruxmelitensis_Ccrux.Trinity.68930 Ccrux.Trinity.68930, Calvadosia_cruxmelitensis_Ccrux.Trinity.68932 Ccrux.Trinity.68932, Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269	Danio_rerio_tr_E9QHI1_E9QHI1_DANRE tr|E9QHI1|E9QHI1_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_F1QYE2_F1QYE2_DANRE tr|F1QYE2|F1QYE2_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_Q7T3T6_Q7T3T6_DANRE tr|Q7T3T6|Q7T3T6_DANRE Tenascin-R OS=Danio rerio OX=7955 GN=tnr PE=1 SV=1, Danio_rerio_tr_B0S6K6_B0S6K6_DANRE tr|B0S6K6|B0S6K6_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1, Danio_rerio_tr_F1QSR3_F1QSR3_DANRE tr|F1QSR3|F1QSR3_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tenw PE=1 SV=2, Danio_rerio_tr_B0S6K5_B0S6K5_DANRE tr|B0S6K5|B0S6K5_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.16839 Ccrux.Trinity.16839, Calvadosia_cruxmelitensis_Ccrux.Trinity.16840 Ccrux.Trinity.16840, Calvadosia_cruxmelitensis_Ccrux.Trinity.16842 Ccrux.Trinity.16842, Calvadosia_cruxmelitensis_Ccrux.Trinity.76 Ccrux.Trinity.76	Danio_rerio_tr_A0A8N7UZN6_A0A8N7UZN6_DANRE tr|A0A8N7UZN6|A0A8N7UZN6_DANRE Angiopoietin-like 3 OS=Danio rerio OX=7955 GN=fb60e11 PE=4 SV=1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Danio_rerio_sp_Q8JHV6_LAMB4_DANRE sp|Q8JHV6|LAMB4_DANRE Laminin subunit beta-4 OS=Danio rerio OX=7955 GN=lamb4 PE=2 SV=1, Danio_rerio_tr_A0A8M9PDX2_A0A8M9PDX2_DANRE tr|A0A8M9PDX2|A0A8M9PDX2_DANRE Laminin subunit beta-1 isoform X1 OS=Danio rerio OX=7955 GN=lamb2l PE=1 SV=1, Danio_rerio_tr_B7ZDA6_B7ZDA6_DANRE tr|B7ZDA6|B7ZDA6_DANRE Laminin subunit beta-2 precursor OS=Danio rerio OX=7955 GN=si_dkey-32e6.2 PE=1 SV=1, Danio_rerio_tr_F1REL9_F1REL9_DANRE tr|F1REL9|F1REL9_DANRE Laminin_ beta 1b OS=Danio rerio OX=7955 GN=si_dkey-183c16.5 PE=4 SV=1, Danio_rerio_tr_Q8JHV7_Q8JHV7_DANRE tr|Q8JHV7|Q8JHV7_DANRE Laminin beta 1 OS=Danio rerio OX=7955 GN=lamb1 PE=1 SV=1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088, Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972	Danio_rerio_tr_I3IT80_I3IT80_DANRE tr|I3IT80|I3IT80_DANRE Netrin g2b OS=Danio rerio OX=7955 GN=ntng2b PE=4 SV=1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427	Danio_rerio_tr_F1QUK5_F1QUK5_DANRE tr|F1QUK5|F1QUK5_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=4 SV=1, Danio_rerio_tr_O42203_O42203_DANRE tr|O42203|O42203_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=2 SV=1, Danio_rerio_tr_O42140_O42140_DANRE tr|O42140|O42140_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=ntn2 PE=2 SV=1, Danio_rerio_tr_F1QPJ1_F1QPJ1_DANRE tr|F1QPJ1|F1QPJ1_DANRE Laminin subunit gamma-3 OS=Danio rerio OX=7955 GN=lamc3 PE=4 SV=1, Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.14897 Ccrux.Trinity.14897, Calvadosia_cruxmelitensis_Ccrux.Trinity.14896 Ccrux.Trinity.14896, Calvadosia_cruxmelitensis_Ccrux.Trinity.1401 Ccrux.Trinity.1401	Danio_rerio_tr_G8IHU0_G8IHU0_DANRE tr|G8IHU0|G8IHU0_DANRE Laminin alpha 2 chain short splice variant OS=Danio rerio OX=7955 GN=Lama2 PE=1 SV=1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.15375 Ccrux.Trinity.15375, Calvadosia_cruxmelitensis_Ccrux.Trinity.15374 Ccrux.Trinity.15374	Danio_rerio_tr_A0A0G2KDJ5_A0A0G2KDJ5_DANRE tr|A0A0G2KDJ5|A0A0G2KDJ5_DANRE Cartilage oligomeric matrix protein OS=Danio rerio OX=7955 GN=Tsp-4b PE=1 SV=1, Danio_rerio_sp_Q1L8P7_TSP3B_DANRE sp|Q1L8P7|TSP3B_DANRE Thrombospondin-3b OS=Danio rerio OX=7955 GN=thbs3b PE=3 SV=1, Danio_rerio_sp_Q8JHW2_TSP3A_DANRE sp|Q8JHW2|TSP3A_DANRE Thrombospondin-3a OS=Danio rerio OX=7955 GN=thbs3a PE=2 SV=2, Danio_rerio_tr_A0A0R4I9N1_A0A0R4I9N1_DANRE tr|A0A0R4I9N1|A0A0R4I9N1_DANRE Thrombospondin 4a OS=Danio rerio OX=7955 GN=zgc_175276 PE=3 SV=1, Danio_rerio_sp_Q8JGW0_TSP4B_DANRE sp|Q8JGW0|TSP4B_DANRE Thrombospondin-4-B OS=Danio rerio OX=7955 GN=thbs4b PE=2 SV=1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.32954 Ccrux.Trinity.32954, Calvadosia_cruxmelitensis_Ccrux.Trinity.32955 Ccrux.Trinity.32955, Calvadosia_cruxmelitensis_Ccrux.Trinity.32953 Ccrux.Trinity.32953, Calvadosia_cruxmelitensis_Ccrux.Trinity.32959 Ccrux.Trinity.32959, Calvadosia_cruxmelitensis_Ccrux.Trinity.32958 Ccrux.Trinity.32958, Calvadosia_cruxmelitensis_Ccrux.Trinity.32957 Ccrux.Trinity.32957	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1, Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.73775 Ccrux.Trinity.73775	Danio_rerio_tr_D7PS96_D7PS96_DANRE tr|D7PS96|D7PS96_DANRE Hemicentin-1 precursor OS=Danio rerio OX=7955 GN=hmcn1 PE=2 SV=1
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.71459 Ccrux.Trinity.71459, Calvadosia_cruxmelitensis_Ccrux.Trinity.18445 Ccrux.Trinity.18445, Calvadosia_cruxmelitensis_Ccrux.Trinity.18452 Ccrux.Trinity.18452, Calvadosia_cruxmelitensis_Ccrux.Trinity.18443 Ccrux.Trinity.18443, Calvadosia_cruxmelitensis_Ccrux.Trinity.18449 Ccrux.Trinity.18449, Calvadosia_cruxmelitensis_Ccrux.Trinity.64957 Ccrux.Trinity.64957, Calvadosia_cruxmelitensis_Ccrux.Trinity.64956 Ccrux.Trinity.64956, Calvadosia_cruxmelitensis_Ccrux.Trinity.62416 Ccrux.Trinity.62416, Calvadosia_cruxmelitensis_Ccrux.Trinity.8190 Ccrux.Trinity.8190, Calvadosia_cruxmelitensis_Ccrux.Trinity.8191 Ccrux.Trinity.8191, Calvadosia_cruxmelitensis_Ccrux.Trinity.63471 Ccrux.Trinity.63471	Danio_rerio_sp_Q5U3G1_COL11_DANRE sp|Q5U3G1|COL11_DANRE Collectin-11 OS=Danio rerio OX=7955 GN=colec11 PE=2 SV=1, Danio_rerio_tr_Q504I3_Q504I3_DANRE tr|Q504I3|Q504I3_DANRE Hbl3 protein OS=Danio rerio OX=7955 GN=hbl3 PE=2 SV=1
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.58799 Ccrux.Trinity.58799, Calvadosia_cruxmelitensis_Ccrux.Trinity.69530 Ccrux.Trinity.69530	Danio_rerio_tr_Q8AW56_Q8AW56_DANRE tr|Q8AW56|Q8AW56_DANRE Cochlin precursor OS=Danio rerio OX=7955 GN=OTTDARP00000001491 PE=1 SV=1
