Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269	Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852	Clytia_hemispherica_TCONS_00053667-protein TCONS_00053667-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70737 Ccrux.Trinity.70737	Clytia_hemispherica_TCONS_00046695-protein TCONS_00046695-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.13379 Ccrux.Trinity.13379	Clytia_hemispherica_TCONS_00049800-protein TCONS_00049800-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.15286 Ccrux.Trinity.15286, Calvadosia_cruxmelitensis_Ccrux.Trinity.15288 Ccrux.Trinity.15288, Calvadosia_cruxmelitensis_Ccrux.Trinity.15287 Ccrux.Trinity.15287, Calvadosia_cruxmelitensis_Ccrux.Trinity.15289 Ccrux.Trinity.15289, Calvadosia_cruxmelitensis_Ccrux.Trinity.15290 Ccrux.Trinity.15290	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.6711 Ccrux.Trinity.6711, Calvadosia_cruxmelitensis_Ccrux.Trinity.6713 Ccrux.Trinity.6713	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.38369 Ccrux.Trinity.38369	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.59987 Ccrux.Trinity.59987	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.40612 Ccrux.Trinity.40612, Calvadosia_cruxmelitensis_Ccrux.Trinity.40613 Ccrux.Trinity.40613	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.47275 Ccrux.Trinity.47275, Calvadosia_cruxmelitensis_Ccrux.Trinity.47256 Ccrux.Trinity.47256, Calvadosia_cruxmelitensis_Ccrux.Trinity.47271 Ccrux.Trinity.47271, Calvadosia_cruxmelitensis_Ccrux.Trinity.47257 Ccrux.Trinity.47257, Calvadosia_cruxmelitensis_Ccrux.Trinity.47260 Ccrux.Trinity.47260, Calvadosia_cruxmelitensis_Ccrux.Trinity.47278 Ccrux.Trinity.47278, Calvadosia_cruxmelitensis_Ccrux.Trinity.47280 Ccrux.Trinity.47280	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.26582 Ccrux.Trinity.26582, Calvadosia_cruxmelitensis_Ccrux.Trinity.45522 Ccrux.Trinity.45522	Clytia_hemispherica_TCONS_00067910-protein TCONS_00067910-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.1680 Ccrux.Trinity.1680, Calvadosia_cruxmelitensis_Ccrux.Trinity.30826 Ccrux.Trinity.30826, Calvadosia_cruxmelitensis_Ccrux.Trinity.30830 Ccrux.Trinity.30830	Clytia_hemispherica_TCONS_00020975-protein TCONS_00020975-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.56437 Ccrux.Trinity.56437	Clytia_hemispherica_TCONS_00026153-protein TCONS_00026153-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.29916 Ccrux.Trinity.29916, Calvadosia_cruxmelitensis_Ccrux.Trinity.29915 Ccrux.Trinity.29915	Clytia_hemispherica_TCONS_00003461-protein TCONS_00003461-protein, Clytia_hemispherica_TCONS_00071725-protein TCONS_00071725-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.56550 Ccrux.Trinity.56550	Clytia_hemispherica_TCONS_00050620-protein TCONS_00050620-protein, Clytia_hemispherica_TCONS_00040831-protein TCONS_00040831-protein, Clytia_hemispherica_TCONS_00043093-protein TCONS_00043093-protein, Clytia_hemispherica_TCONS_00027715-protein TCONS_00027715-protein, Clytia_hemispherica_TCONS_00050603-protein TCONS_00050603-protein, Clytia_hemispherica_TCONS_00018828-protein TCONS_00018828-protein, Clytia_hemispherica_TCONS_00055790-protein TCONS_00055790-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.60745 Ccrux.Trinity.60745, Calvadosia_cruxmelitensis_Ccrux.Trinity.61474 Ccrux.Trinity.61474	Clytia_hemispherica_TCONS_00067911-protein TCONS_00067911-protein, Clytia_hemispherica_TCONS_00020960-protein TCONS_00020960-protein, Clytia_hemispherica_TCONS_00046674-protein TCONS_00046674-protein, Clytia_hemispherica_TCONS_00020309-protein TCONS_00020309-protein, Clytia_hemispherica_TCONS_00020949-protein TCONS_00020949-protein, Clytia_hemispherica_TCONS_00019315-protein TCONS_00019315-protein, Clytia_hemispherica_TCONS_00020293-protein TCONS_00020293-protein, Clytia_hemispherica_TCONS_00068135-protein TCONS_00068135-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.40282 Ccrux.Trinity.40282, Calvadosia_cruxmelitensis_Ccrux.Trinity.40281 Ccrux.Trinity.40281	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972	Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.20012 Ccrux.Trinity.20012	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.1401 Ccrux.Trinity.1401	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.45769 Ccrux.Trinity.45769	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.40216 Ccrux.Trinity.40216, Calvadosia_cruxmelitensis_Ccrux.Trinity.40220 Ccrux.Trinity.40220, Calvadosia_cruxmelitensis_Ccrux.Trinity.40212 Ccrux.Trinity.40212, Calvadosia_cruxmelitensis_Ccrux.Trinity.40218 Ccrux.Trinity.40218	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein
