Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Chordata_Vertebrata_Mus_musculus
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.5902 Ccrux.Trinity.5902, Calvadosia_cruxmelitensis_Ccrux.Trinity.5900 Ccrux.Trinity.5900, Calvadosia_cruxmelitensis_Ccrux.Trinity.22425 Ccrux.Trinity.22425, Calvadosia_cruxmelitensis_Ccrux.Trinity.22427 Ccrux.Trinity.22427, Calvadosia_cruxmelitensis_Ccrux.Trinity.22430 Ccrux.Trinity.22430, Calvadosia_cruxmelitensis_Ccrux.Trinity.4328 Ccrux.Trinity.4328, Calvadosia_cruxmelitensis_Ccrux.Trinity.67978 Ccrux.Trinity.67978, Calvadosia_cruxmelitensis_Ccrux.Trinity.6801 Ccrux.Trinity.6801, Calvadosia_cruxmelitensis_Ccrux.Trinity.6795 Ccrux.Trinity.6795, Calvadosia_cruxmelitensis_Ccrux.Trinity.6803 Ccrux.Trinity.6803, Calvadosia_cruxmelitensis_Ccrux.Trinity.6805 Ccrux.Trinity.6805, Calvadosia_cruxmelitensis_Ccrux.Trinity.70576 Ccrux.Trinity.70576, Calvadosia_cruxmelitensis_Ccrux.Trinity.48270 Ccrux.Trinity.48270, Calvadosia_cruxmelitensis_Ccrux.Trinity.72284 Ccrux.Trinity.72284, Calvadosia_cruxmelitensis_Ccrux.Trinity.8829 Ccrux.Trinity.8829, Calvadosia_cruxmelitensis_Ccrux.Trinity.62736 Ccrux.Trinity.62736, Calvadosia_cruxmelitensis_Ccrux.Trinity.65381 Ccrux.Trinity.65381, Calvadosia_cruxmelitensis_Ccrux.Trinity.68930 Ccrux.Trinity.68930, Calvadosia_cruxmelitensis_Ccrux.Trinity.68932 Ccrux.Trinity.68932, Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269	Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q80Z71_TENN_MOUSE sp_Q80Z71_TENN_MOUSE Tenascin-N OS=Mus musculus OX=10090 GN=Tnn PE=1 SV=2
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975	Mus_musculus_sp_Q9D1H9_MFAP4_MOUSE sp_Q9D1H9_MFAP4_MOUSE Microfibril-associated glycoprotein 4 OS=Mus musculus OX=10090 GN=Mfap4 PE=1 SV=1
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.16839 Ccrux.Trinity.16839, Calvadosia_cruxmelitensis_Ccrux.Trinity.16840 Ccrux.Trinity.16840, Calvadosia_cruxmelitensis_Ccrux.Trinity.16842 Ccrux.Trinity.16842, Calvadosia_cruxmelitensis_Ccrux.Trinity.76 Ccrux.Trinity.76	Mus_musculus_sp_Q9Z1P8_ANGL4_MOUSE sp_Q9Z1P8_ANGL4_MOUSE Angiopoietin-related protein 4 OS=Mus musculus OX=10090 GN=Angptl4 PE=1 SV=1, Mus_musculus_sp_Q9R182_ANGL3_MOUSE sp_Q9R182_ANGL3_MOUSE Angiopoietin-related protein 3 OS=Mus musculus OX=10090 GN=Angptl3 PE=1 SV=1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421	Mus_musculus_sp_Q61092_LAMC2_MOUSE sp_Q61092_LAMC2_MOUSE Laminin subunit gamma-2 OS=Mus musculus OX=10090 GN=Lamc2 PE=1 SV=2
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2, Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088, Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427	Mus_musculus_sp_Q9R1A3_NET3_MOUSE sp_Q9R1A3_NET3_MOUSE Netrin-3 OS=Mus musculus OX=10090 GN=Ntn3 PE=2 SV=1, Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3, Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.15375 Ccrux.Trinity.15375, Calvadosia_cruxmelitensis_Ccrux.Trinity.15374 Ccrux.Trinity.15374	Mus_musculus_sp_Q9R0G6_COMP_MOUSE sp_Q9R0G6_COMP_MOUSE Cartilage oligomeric matrix protein OS=Mus musculus OX=10090 GN=Comp PE=1 SV=2, Mus_musculus_sp_Q05895_TSP3_MOUSE sp_Q05895_TSP3_MOUSE Thrombospondin-3 OS=Mus musculus OX=10090 GN=Thbs3 PE=1 SV=2, Mus_musculus_sp_Q9Z1T2_TSP4_MOUSE sp_Q9Z1T2_TSP4_MOUSE Thrombospondin-4 OS=Mus musculus OX=10090 GN=Thbs4 PE=1 SV=1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.32954 Ccrux.Trinity.32954, Calvadosia_cruxmelitensis_Ccrux.Trinity.32955 Ccrux.Trinity.32955, Calvadosia_cruxmelitensis_Ccrux.Trinity.32953 Ccrux.Trinity.32953, Calvadosia_cruxmelitensis_Ccrux.Trinity.32959 Ccrux.Trinity.32959, Calvadosia_cruxmelitensis_Ccrux.Trinity.32958 Ccrux.Trinity.32958, Calvadosia_cruxmelitensis_Ccrux.Trinity.32957 Ccrux.Trinity.32957	Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_O35464_SEM6A_MOUSE sp_O35464_SEM6A_MOUSE Semaphorin-6A OS=Mus musculus OX=10090 GN=Sema6a PE=1 SV=2, Mus_musculus_sp_O54951_SEM6B_MOUSE sp_O54951_SEM6B_MOUSE Semaphorin-6B OS=Mus musculus OX=10090 GN=Sema6b PE=1 SV=1, Mus_musculus_sp_Q9WTM3_SEM6C_MOUSE sp_Q9WTM3_SEM6C_MOUSE Semaphorin-6C OS=Mus musculus OX=10090 GN=Sema6c PE=2 SV=1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.73775 Ccrux.Trinity.73775	Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1, Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
