Orthogroup	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0ADV5_A0A8K0ADV5_BRALA tr|A0A8K0ADV5|A0A8K0ADV5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LIZ7_A0A9J7LIZ7_BRAFL tr|A0A9J7LIZ7|A0A9J7LIZ7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118420403 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9YXM4_A0A8J9YXM4_BRALA tr|A0A8J9YXM4|A0A8J9YXM4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7MDK7_A0A9J7MDK7_BRAFL tr|A0A9J7MDK7|A0A9J7MDK7_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118431943 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZUC4_A0A8J9ZUC4_BRALA tr|A0A8J9ZUC4|A0A8J9ZUC4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU80_A0A8J9ZU80_BRALA tr|A0A8J9ZU80|A0A8J9ZU80_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7MXV2_A0A9J7MXV2_BRAFL tr|A0A9J7MXV2|A0A9J7MXV2_BRAFL Fibrinogen C domain-containing protein 1-B-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118422109 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQS9_A0A9J7LQS9_BRAFL tr|A0A9J7LQS9|A0A9J7LQS9_BRAFL Fibrinogen C domain-containing protein 1-B-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118422109 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZD86_A0A8J9ZD86_BRALA tr|A0A8J9ZD86|A0A8J9ZD86_BRALA FCN3 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN3 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7MIW1_A0A9J7MIW1_BRAFL tr|A0A9J7MIW1|A0A9J7MIW1_BRAFL Uncharacterized protein LOC118411081 OS=Branchiostoma floridae OX=7739 GN=LOC118411081 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9YVS3_A0A8J9YVS3_BRALA tr|A0A8J9YVS3|A0A8J9YVS3_BRALA MEGF10 protein OS=Branchiostoma lanceolatum OX=7740 GN=MEGF10 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YVW9_A0A8J9YVW9_BRALA tr|A0A8J9YVW9|A0A8J9YVW9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=3 SV=1	Branchiostoma_floridae_tr_A0A9J7MD53_A0A9J7MD53_BRAFL tr|A0A9J7MD53|A0A9J7MD53_BRAFL Multiple epidermal growth factor-like domains protein 10 OS=Branchiostoma floridae OX=7739 GN=LOC118431380 PE=3 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0ECH5_A0A8K0ECH5_BRALA tr|A0A8K0ECH5|A0A8K0ECH5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7KGT7_A0A9J7KGT7_BRAFL tr|A0A9J7KGT7|A0A9J7KGT7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118404428 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZK72_A0A8J9ZK72_BRALA tr|A0A8J9ZK72|A0A8J9ZK72_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7K652_A0A9J7K652_BRAFL tr|A0A9J7K652|A0A9J7K652_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118403700 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HI59_A0A9J7HI59_BRAFL tr|A0A9J7HI59|A0A9J7HI59_BRAFL Fibrinogen C domain-containing protein 1-B-like OS=Branchiostoma floridae OX=7739 GN=LOC118403710 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0A955_A0A8K0A955_BRALA tr|A0A8K0A955|A0A8K0A955_BRALA PKD1L3 protein OS=Branchiostoma lanceolatum OX=7740 GN=PKD1L3 PE=3 SV=1	Branchiostoma_floridae_tr_A0A9J7LN89_A0A9J7LN89_BRAFL tr|A0A9J7LN89|A0A9J7LN89_BRAFL Versican core protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118421928 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KUW6_A0A9J7KUW6_BRAFL tr|A0A9J7KUW6|A0A9J7KUW6_BRAFL Collagen alpha-1_XVII_ chain-like OS=Branchiostoma floridae OX=7739 GN=LOC118411872 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTF0_A0A9J7KTF0_BRAFL tr|A0A9J7KTF0|A0A9J7KTF0_BRAFL Collagen alpha-1_I_ chain-like OS=Branchiostoma floridae OX=7739 GN=LOC118411862 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9YR05_A0A8J9YR05_BRALA tr|A0A8J9YR05|A0A8J9YR05_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W7G3_A0A8J9W7G3_BRALA tr|A0A8J9W7G3|A0A8J9W7G3_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YMB2_A0A8J9YMB2_BRALA tr|A0A8J9YMB2|A0A8J9YMB2_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W4J7_A0A8J9W4J7_BRALA tr|A0A8J9W4J7|A0A8J9W4J7_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRQ3_A0A8J9YRQ3_BRALA tr|A0A8J9YRQ3|A0A8J9YRQ3_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YNX7_A0A8J9YNX7_BRALA tr|A0A8J9YNX7|A0A8J9YNX7_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7MER3_A0A9J7MER3_BRAFL tr|A0A9J7MER3|A0A9J7MER3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118430934 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NBA4_A0A9J7NBA4_BRAFL tr|A0A9J7NBA4|A0A9J7NBA4_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118431034 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NBR7_A0A9J7NBR7_BRAFL tr|A0A9J7NBR7|A0A9J7NBR7_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430834 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M860_A0A9J7M860_BRAFL tr|A0A9J7M860|A0A9J7M860_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118429883 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M9L0_A0A9J7M9L0_BRAFL tr|A0A9J7M9L0|A0A9J7M9L0_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118429983 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAL2_A0A9J7MAL2_BRAFL tr|A0A9J7MAL2|A0A9J7MAL2_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430836 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NC67_A0A9J7NC67_BRAFL tr|A0A9J7NC67|A0A9J7NC67_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430835 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBV4_A0A9J7MBV4_BRAFL tr|A0A9J7MBV4|A0A9J7MBV4_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118430838 PE=4 SV=1, Branchiostoma_floridae_tr_C3ZK14_C3ZK14_BRAFL tr|C3ZK14|C3ZK14_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430837 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KM90_A0A9J7KM90_BRAFL tr|A0A9J7KM90|A0A9J7KM90_BRAFL Fibrinogen-like protein 1 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118409573 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KM95_A0A9J7KM95_BRAFL tr|A0A9J7KM95|A0A9J7KM95_BRAFL Fibrinogen-like protein 1 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118409573 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9VRN1_A0A8J9VRN1_BRALA tr|A0A8J9VRN1|A0A8J9VRN1_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7MEI4_A0A9J7MEI4_BRAFL tr|A0A9J7MEI4|A0A9J7MEI4_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118430818 PE=4 SV=1
