Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Acropora_digitifera_adi_v1.06433 adi_v1.06433, Acropora_digitifera_adi_v1.03761 adi_v1.03761	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2
OG0000001	Acropora_digitifera_adi_v1.19636 adi_v1.19636	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Acropora_digitifera_adi_v1.02555 adi_v1.02555	Morbakka_virulenta_scaffold356.g13.t1 scaffold356.g13.t1
OG0000001	Acropora_digitifera_adi_v1.16442 adi_v1.16442, Acropora_digitifera_adi_v1.14600 adi_v1.14600	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1
OG0000001	Acropora_digitifera_adi_v1.11962 adi_v1.11962	Morbakka_virulenta_scaffold137.g22.t2 scaffold137.g22.t2, Morbakka_virulenta_scaffold137.g22.t5 scaffold137.g22.t5, Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4
OG0000001	Acropora_digitifera_adi_v1.04637 adi_v1.04637	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Acropora_digitifera_adi_v1.18078 adi_v1.18078	Morbakka_virulenta_scaffold209.g24.t6 scaffold209.g24.t6, Morbakka_virulenta_scaffold209.g24.t3 scaffold209.g24.t3, Morbakka_virulenta_scaffold209.g24.t5 scaffold209.g24.t5, Morbakka_virulenta_scaffold209.g24.t4 scaffold209.g24.t4
OG0000001	Acropora_digitifera_adi_v1.00967 adi_v1.00967	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1
OG0000001	Acropora_digitifera_adi_v1.03506 adi_v1.03506	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1
OG0000001	Acropora_digitifera_adi_v1.14231 adi_v1.14231, Acropora_digitifera_adi_v1.21625 adi_v1.21625	Morbakka_virulenta_scaffold99.g24.t1 scaffold99.g24.t1
