Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Insecta_Diptera_Drosophila_melanogaster
OG0000000	Acropora_digitifera_adi_v1.08380 adi_v1.08380, Acropora_digitifera_adi_v1.14483 adi_v1.14483, Acropora_digitifera_adi_v1.14482 adi_v1.14482, Acropora_digitifera_adi_v1.20225 adi_v1.20225, Acropora_digitifera_adi_v1.07747 adi_v1.07747, Acropora_digitifera_adi_v1.24622 adi_v1.24622, Acropora_digitifera_adi_v1.06759 adi_v1.06759, Acropora_digitifera_adi_v1.21284 adi_v1.21284	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2
OG0000000	Acropora_digitifera_adi_v1.14253 adi_v1.14253, Acropora_digitifera_adi_v1.08651 adi_v1.08651, Acropora_digitifera_adi_v1.00456 adi_v1.00456, Acropora_digitifera_adi_v1.08650 adi_v1.08650, Acropora_digitifera_adi_v1.14251 adi_v1.14251, Acropora_digitifera_adi_v1.00454 adi_v1.00454, Acropora_digitifera_adi_v1.00455 adi_v1.00455, Acropora_digitifera_adi_v1.21001 adi_v1.21001, Acropora_digitifera_adi_v1.08649 adi_v1.08649, Acropora_digitifera_adi_v1.14254 adi_v1.14254, Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895, Acropora_digitifera_adi_v1.22096 adi_v1.22096, Acropora_digitifera_adi_v1.18297 adi_v1.18297, Acropora_digitifera_adi_v1.24356 adi_v1.24356, Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223	Drosophila_melanogaster_tr_Q9VME7_Q9VME7_DROME tr|Q9VME7|Q9VME7_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=AAF52372 PE=4 SV=4, Drosophila_melanogaster_tr_Q4V4U2_Q4V4U2_DROME tr|Q4V4U2|Q4V4U2_DROME IP08170p OS=Drosophila melanogaster OX=7227 GN=AAF46801 PE=2 SV=1, Drosophila_melanogaster_tr_A1ZAJ8_A1ZAJ8_DROME tr|A1ZAJ8|A1ZAJ8_DROME FI17311p1 OS=Drosophila melanogaster OX=7227 GN=AAL48972 PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K7T3_A0A0B4K7T3_DROME tr|A0A0B4K7T3|A0A0B4K7T3_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=AAF57948 PE=4 SV=1, Drosophila_melanogaster_tr_Q8SYS3_Q8SYS3_DROME tr|Q8SYS3|Q8SYS3_DROME RE38860p OS=Drosophila melanogaster OX=7227 GN=CG5550 PE=2 SV=1
OG0000000	Acropora_digitifera_adi_v1.00941 adi_v1.00941	Drosophila_melanogaster_tr_Q9VX04_Q9VX04_DROME tr|Q9VX04|Q9VX04_DROME LP06940p OS=Drosophila melanogaster OX=7227 GN=FBpp0074269 PE=2 SV=2, Drosophila_melanogaster_tr_Q9W302_Q9W302_DROME tr|Q9W302|Q9W302_DROME GH05177p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=2, Drosophila_melanogaster_tr_M9PHH5_M9PHH5_DROME tr|M9PHH5|M9PHH5_DROME Uncharacterized protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=FBpp0071364 PE=4 SV=1, Drosophila_melanogaster_tr_Q8MR72_Q8MR72_DROME tr|Q8MR72|Q8MR72_DROME GH01991p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=1, Drosophila_melanogaster_tr_Q9W301_Q9W301_DROME tr|Q9W301|Q9W301_DROME GH12692p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG1889 PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRM2_Q8IRM2_DROME tr|Q8IRM2|Q8IRM2_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=AAN09619 PE=4 SV=2, Drosophila_melanogaster_tr_A1Z7G6_A1Z7G6_DROME tr|A1Z7G6|A1Z7G6_DROME Fibrinogen C-terminal domain-containing protein _Fragment_ OS=Drosophila melanogaster OX=7227 GN=AAF59068 PE=4 SV=2, Drosophila_melanogaster_tr_Q95S38_Q95S38_DROME tr|Q95S38|Q95S38_DROME GM10015p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=1, Drosophila_melanogaster_tr_B7Z0B3_B7Z0B3_DROME tr|B7Z0B3|B7Z0B3_DROME Uncharacterized protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1, Drosophila_melanogaster_tr_Q9VZN7_Q9VZN7_DROME tr|Q9VZN7|Q9VZN7_DROME RE57309p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=2, Drosophila_melanogaster_tr_B7Z0B2_B7Z0B2_DROME tr|B7Z0B2|B7Z0B2_DROME Uncharacterized protein_ isoform E OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1
OG0000001	Acropora_digitifera_adi_v1.19636 adi_v1.19636	Drosophila_melanogaster_sp_P11046_LAMB1_DROME sp|P11046|LAMB1_DROME Laminin subunit beta-1 OS=Drosophila melanogaster OX=7227 GN=LanB1 PE=1 SV=4
OG0000001	Acropora_digitifera_adi_v1.01960 adi_v1.01960	Drosophila_melanogaster_sp_Q24567_NETA_DROME sp|Q24567|NETA_DROME Netrin-A OS=Drosophila melanogaster OX=7227 GN=NetA PE=2 SV=2, Drosophila_melanogaster_tr_X2JEZ9_X2JEZ9_DROME tr|X2JEZ9|X2JEZ9_DROME Netrin-A_ isoform C OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_M9NF48_M9NF48_DROME tr|M9NF48|M9NF48_DROME Netrin-A_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.06175 adi_v1.06175	Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2
OG0000001	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434	Drosophila_melanogaster_tr_Q9XZC9_Q9XZC9_DROME tr|Q9XZC9|Q9XZC9_DROME Laminin alpha1_2 OS=Drosophila melanogaster OX=7227 GN=wb PE=2 SV=1, Drosophila_melanogaster_tr_Q8IP51_Q8IP51_DROME tr|Q8IP51|Q8IP51_DROME Wing blister_ isoform B OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1, Drosophila_melanogaster_tr_R9PY40_R9PY40_DROME tr|R9PY40|R9PY40_DROME Wing blister_ isoform G OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1
OG0000002	Acropora_digitifera_adi_v1.01703 adi_v1.01703, Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794, Acropora_digitifera_adi_v1.18031 adi_v1.18031	Drosophila_melanogaster_tr_Q7YU67_Q7YU67_DROME tr|Q7YU67|Q7YU67_DROME RE68041p OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1, Drosophila_melanogaster_tr_Q9VTT0_Q9VTT0_DROME tr|Q9VTT0|Q9VTT0_DROME Semaphorin 5c_ isoform A OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=4 SV=3, Drosophila_melanogaster_tr_Q9U631_Q9U631_DROME tr|Q9U631|Q9U631_DROME Semaphorin 5C OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1
OG0000002	Acropora_digitifera_adi_v1.10800 adi_v1.10800	Drosophila_melanogaster_tr_A1ZAF5_A1ZAF5_DROME tr|A1ZAF5|A1ZAF5_DROME FI18622p1 OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_Q29QV5_Q29QV5_DROME tr|Q29QV5|Q29QV5_DROME IP13724p OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4KG38_A0A0B4KG38_DROME tr|A0A0B4KG38|A0A0B4KG38_DROME Semaphorin 2b_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema2b PE=1 SV=1, Drosophila_melanogaster_sp_Q24323_SEM2A_DROME sp|Q24323|SEM2A_DROME Semaphorin-2A OS=Drosophila melanogaster OX=7227 GN=Sema2a PE=1 SV=2, Drosophila_melanogaster_sp_Q24322_SEM1A_DROME sp|Q24322|SEM1A_DROME Semaphorin-1A OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=3, Drosophila_melanogaster_tr_Q0E8S4_Q0E8S4_DROME tr|Q0E8S4|Q0E8S4_DROME Semaphorin 1a_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=2, Drosophila_melanogaster_tr_M9PCL7_M9PCL7_DROME tr|M9PCL7|M9PCL7_DROME Semaphorin 1a_ isoform G OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PFA5_M9PFA5_DROME tr|M9PFA5|M9PFA5_DROME Semaphorin 1a_ isoform H OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PB77_M9PB77_DROME tr|M9PB77|M9PB77_DROME Semaphorin 1a_ isoform I OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9MRI2_M9MRI2_DROME tr|M9MRI2|M9MRI2_DROME Semaphorin 1a_ isoform F OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_Q7KK54_Q7KK54_DROME tr|Q7KK54|Q7KK54_DROME MIP07328p OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=1 SV=1, Drosophila_melanogaster_tr_O44253_O44253_DROME tr|O44253|O44253_DROME Similar to semaphorin-I OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=2 SV=1
OG0000003	Acropora_digitifera_adi_v1.14319 adi_v1.14319	Drosophila_melanogaster_tr_A1Z8L7_A1Z8L7_DROME tr|A1Z8L7|A1Z8L7_DROME Uncharacterized protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=CK02422a PE=4 SV=2, Drosophila_melanogaster_tr_Q9VQX3_Q9VQX3_DROME tr|Q9VQX3|Q9VQX3_DROME HL05328p OS=Drosophila melanogaster OX=7227 GN=lectin-24Db PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM16_Q9VM16_DROME tr|Q9VM16|Q9VM16_DROME LP02603p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG15818 PE=2 SV=1, Drosophila_melanogaster_tr_Q9VQ53_Q9VQ53_DROME tr|Q9VQ53|Q9VQ53_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=mdcds_4396 PE=4 SV=3, Drosophila_melanogaster_tr_Q9VQU4_Q9VQU4_DROME tr|Q9VQU4|Q9VQU4_DROME Lectin-24A OS=Drosophila melanogaster OX=7227 GN=lectin-24A PE=2 SV=1, Drosophila_melanogaster_tr_Q9VPS3_Q9VPS3_DROME tr|Q9VPS3|Q9VPS3_DROME C-type lectin domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG2839 PE=4 SV=2, Drosophila_melanogaster_tr_Q9W0I2_Q9W0I2_DROME tr|Q9W0I2|Q9W0I2_DROME RE15268p OS=Drosophila melanogaster OX=7227 GN=tfc PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRH8_Q8IRH8_DROME tr|Q8IRH8|Q8IRH8_DROME LP02252p OS=Drosophila melanogaster OX=7227 GN=tfc PE=2 SV=1, Drosophila_melanogaster_sp_Q59DY5_LEDL3_DROME sp|Q59DY5|LEDL3_DROME C-type lectin 37Db OS=Drosophila melanogaster OX=7227 GN=lectin-37Db PE=2 SV=1, Drosophila_melanogaster_tr_Q9VKL8_Q9VKL8_DROME tr|Q9VKL8|Q9VKL8_DROME Lectin-33A OS=Drosophila melanogaster OX=7227 GN=lectin-33A PE=4 SV=2, Drosophila_melanogaster_tr_Q2XYE0_Q2XYE0_DROME tr|Q2XYE0|Q2XYE0_DROME CG8343 _Fragment_ OS=Drosophila melanogaster OX=7227 GN=CG8343 PE=4 SV=1, Drosophila_melanogaster_tr_Q6NMY2_Q6NMY2_DROME tr|Q6NMY2|Q6NMY2_DROME RH54371p OS=Drosophila melanogaster OX=7227 GN=BEST_GH10831 PE=2 SV=1
