Orthogroup	Chordata_Vertebrata_Mus_musculus	Insecta_Diptera_Drosophila_melanogaster
OG0000000	Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q80Z71_TENN_MOUSE sp_Q80Z71_TENN_MOUSE Tenascin-N OS=Mus musculus OX=10090 GN=Tnn PE=1 SV=2	Drosophila_melanogaster_tr_Q9VF34_Q9VF34_DROME tr|Q9VF34|Q9VF34_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=FBpp0082632 PE=4 SV=2
OG0000000	Mus_musculus_sp_Q9D1H9_MFAP4_MOUSE sp_Q9D1H9_MFAP4_MOUSE Microfibril-associated glycoprotein 4 OS=Mus musculus OX=10090 GN=Mfap4 PE=1 SV=1	Drosophila_melanogaster_tr_Q9VME7_Q9VME7_DROME tr|Q9VME7|Q9VME7_DROME Fibrinogen C-terminal domain-containing protein OS=Drosophila melanogaster OX=7227 GN=AAF52372 PE=4 SV=4, Drosophila_melanogaster_tr_Q4V4U2_Q4V4U2_DROME tr|Q4V4U2|Q4V4U2_DROME IP08170p OS=Drosophila melanogaster OX=7227 GN=AAF46801 PE=2 SV=1, Drosophila_melanogaster_tr_A1ZAJ8_A1ZAJ8_DROME tr|A1ZAJ8|A1ZAJ8_DROME FI17311p1 OS=Drosophila melanogaster OX=7227 GN=AAL48972 PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K7T3_A0A0B4K7T3_DROME tr|A0A0B4K7T3|A0A0B4K7T3_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=AAF57948 PE=4 SV=1, Drosophila_melanogaster_tr_Q8SYS3_Q8SYS3_DROME tr|Q8SYS3|Q8SYS3_DROME RE38860p OS=Drosophila melanogaster OX=7227 GN=CG5550 PE=2 SV=1
OG0000000	Mus_musculus_sp_E9PV24_FIBA_MOUSE sp_E9PV24_FIBA_MOUSE Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1, Mus_musculus_sp_E9PV24_FIBA_MOUSE sp_E9PV24_FIBA_MOUSE Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1, Mus_musculus_sp_Q8K0E8_FIBB_MOUSE sp_Q8K0E8_FIBB_MOUSE Fibrinogen beta chain OS=Mus musculus OX=10090 GN=Fgb PE=1 SV=1, Mus_musculus_sp_Q8VCM7_FIBG_MOUSE sp_Q8VCM7_FIBG_MOUSE Fibrinogen gamma chain OS=Mus musculus OX=10090 GN=Fgg PE=1 SV=1, Mus_musculus_sp_Q71KU9_FGL1_MOUSE sp_Q71KU9_FGL1_MOUSE Fibrinogen-like protein 1 OS=Mus musculus OX=10090 GN=Fgl1 PE=1 SV=2, Mus_musculus_sp_Q9R045_ANGL2_MOUSE sp_Q9R045_ANGL2_MOUSE Angiopoietin-related protein 2 OS=Mus musculus OX=10090 GN=Angptl2 PE=2 SV=2, Mus_musculus_sp_Q640P2_ANGL1_MOUSE sp_Q640P2_ANGL1_MOUSE Angiopoietin-related protein 1 OS=Mus musculus OX=10090 GN=Angptl1 PE=2 SV=1, Mus_musculus_sp_Q8R0Z6_ANGL6_MOUSE sp_Q8R0Z6_ANGL6_MOUSE Angiopoietin-related protein 6 OS=Mus musculus OX=10090 GN=Angptl6 PE=2 SV=1, Mus_musculus_sp_Q8R1Q3_ANGL7_MOUSE sp_Q8R1Q3_ANGL7_MOUSE Angiopoietin-related protein 7 OS=Mus musculus OX=10090 GN=Angptl7 PE=2 SV=1	Drosophila_melanogaster_tr_Q9VX04_Q9VX04_DROME tr|Q9VX04|Q9VX04_DROME LP06940p OS=Drosophila melanogaster OX=7227 GN=FBpp0074269 PE=2 SV=2, Drosophila_melanogaster_tr_Q9W302_Q9W302_DROME tr|Q9W302|Q9W302_DROME GH05177p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=2, Drosophila_melanogaster_tr_M9PHH5_M9PHH5_DROME tr|M9PHH5|M9PHH5_DROME Uncharacterized protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=FBpp0071364 PE=4 SV=1, Drosophila_melanogaster_tr_Q8MR72_Q8MR72_DROME tr|Q8MR72|Q8MR72_DROME GH01991p OS=Drosophila melanogaster OX=7227 GN=AAF46535 PE=2 SV=1, Drosophila_melanogaster_tr_Q9W301_Q9W301_DROME tr|Q9W301|Q9W301_DROME GH12692p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG1889 PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRM2_Q8IRM2_DROME tr|Q8IRM2|Q8IRM2_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=AAN09619 PE=4 SV=2, Drosophila_melanogaster_tr_A1Z7G6_A1Z7G6_DROME tr|A1Z7G6|A1Z7G6_DROME Fibrinogen C-terminal domain-containing protein _Fragment_ OS=Drosophila melanogaster OX=7227 GN=AAF59068 PE=4 SV=2, Drosophila_melanogaster_tr_Q95S38_Q95S38_DROME tr|Q95S38|Q95S38_DROME GM10015p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=1, Drosophila_melanogaster_tr_B7Z0B3_B7Z0B3_DROME tr|B7Z0B3|B7Z0B3_DROME Uncharacterized protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1, Drosophila_melanogaster_tr_Q9VZN7_Q9VZN7_DROME tr|Q9VZN7|Q9VZN7_DROME RE57309p OS=Drosophila melanogaster OX=7227 GN=CG10359 PE=2 SV=2, Drosophila_melanogaster_tr_B7Z0B2_B7Z0B2_DROME tr|B7Z0B2|B7Z0B2_DROME Uncharacterized protein_ isoform E OS=Drosophila melanogaster OX=7227 GN=AAF47782 PE=1 SV=1
OG0000000	Mus_musculus_sp_Q9WVH6_ANGP4_MOUSE sp_Q9WVH6_ANGP4_MOUSE Angiopoietin-4 OS=Mus musculus OX=10090 GN=Angpt4 PE=1 SV=1, Mus_musculus_sp_O35608_ANGP2_MOUSE sp_O35608_ANGP2_MOUSE Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2, Mus_musculus_sp_O08538_ANGP1_MOUSE sp_O08538_ANGP1_MOUSE Angiopoietin-1 OS=Mus musculus OX=10090 GN=Angpt1 PE=1 SV=2	Drosophila_melanogaster_tr_E8Z4Z6_E8Z4Z6_DROME tr|E8Z4Z6|E8Z4Z6_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=4 SV=1, Drosophila_melanogaster_tr_Q5BIB8_Q5BIB8_DROME tr|Q5BIB8|Q5BIB8_DROME RE19569p OS=Drosophila melanogaster OX=7227 GN=CG17443 PE=2 SV=1, Drosophila_melanogaster_tr_A8QHX1_A8QHX1_DROME tr|A8QHX1|A8QHX1_DROME Uncharacterized protein_ isoform B OS=Drosophila melanogaster OX=7227 GN=Dmel\CG41520 PE=4 SV=1
OG0000000	Mus_musculus_sp_Q9Z1P8_ANGL4_MOUSE sp_Q9Z1P8_ANGL4_MOUSE Angiopoietin-related protein 4 OS=Mus musculus OX=10090 GN=Angptl4 PE=1 SV=1, Mus_musculus_sp_Q9R182_ANGL3_MOUSE sp_Q9R182_ANGL3_MOUSE Angiopoietin-related protein 3 OS=Mus musculus OX=10090 GN=Angptl3 PE=1 SV=1	Drosophila_melanogaster_sp_P21520_SCA_DROME sp|P21520|SCA_DROME Protein scabrous OS=Drosophila melanogaster OX=7227 GN=sca PE=2 SV=3
OG0000001	Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2, Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3	Drosophila_melanogaster_sp_P11046_LAMB1_DROME sp|P11046|LAMB1_DROME Laminin subunit beta-1 OS=Drosophila melanogaster OX=7227 GN=LanB1 PE=1 SV=4
OG0000001	Mus_musculus_sp_Q9R1A3_NET3_MOUSE sp_Q9R1A3_NET3_MOUSE Netrin-3 OS=Mus musculus OX=10090 GN=Ntn3 PE=2 SV=1, Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3	Drosophila_melanogaster_sp_Q24567_NETA_DROME sp|Q24567|NETA_DROME Netrin-A OS=Drosophila melanogaster OX=7227 GN=NetA PE=2 SV=2, Drosophila_melanogaster_tr_X2JEZ9_X2JEZ9_DROME tr|X2JEZ9|X2JEZ9_DROME Netrin-A_ isoform C OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1, Drosophila_melanogaster_tr_M9NF48_M9NF48_DROME tr|M9NF48|M9NF48_DROME Netrin-A_ isoform B OS=Drosophila melanogaster OX=7227 GN=NetA PE=4 SV=1
OG0000001	Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2	Drosophila_melanogaster_tr_X2JAW6_X2JAW6_DROME tr|X2JAW6|X2JAW6_DROME Laminin B2_ isoform B OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=4 SV=1, Drosophila_melanogaster_sp_P15215_LAMC1_DROME sp|P15215|LAMC1_DROME Laminin subunit gamma-1 OS=Drosophila melanogaster OX=7227 GN=LanB2 PE=2 SV=2
OG0000002	Mus_musculus_sp_Q9R0G6_COMP_MOUSE sp_Q9R0G6_COMP_MOUSE Cartilage oligomeric matrix protein OS=Mus musculus OX=10090 GN=Comp PE=1 SV=2, Mus_musculus_sp_Q05895_TSP3_MOUSE sp_Q05895_TSP3_MOUSE Thrombospondin-3 OS=Mus musculus OX=10090 GN=Thbs3 PE=1 SV=2, Mus_musculus_sp_Q9Z1T2_TSP4_MOUSE sp_Q9Z1T2_TSP4_MOUSE Thrombospondin-4 OS=Mus musculus OX=10090 GN=Thbs4 PE=1 SV=1	Drosophila_melanogaster_tr_Q968S4_Q968S4_DROME tr|Q968S4|Q968S4_DROME Putative thrombospondin OS=Drosophila melanogaster OX=7227 GN=Tsp PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM97_Q9VM97_DROME tr|Q9VM97|Q9VM97_DROME Thrombospondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=2, Drosophila_melanogaster_tr_B7Z030_B7Z030_DROME tr|B7Z030|B7Z030_DROME Thrombospondin_ isoform G OS=Drosophila melanogaster OX=7227 GN=Tsp PE=3 SV=1
OG0000002	Mus_musculus_sp_Q62217_SEM5A_MOUSE sp_Q62217_SEM5A_MOUSE Semaphorin-5A OS=Mus musculus OX=10090 GN=Sema5a PE=2 SV=1, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2	Drosophila_melanogaster_tr_Q7YU67_Q7YU67_DROME tr|Q7YU67|Q7YU67_DROME RE68041p OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1, Drosophila_melanogaster_tr_Q9VTT0_Q9VTT0_DROME tr|Q9VTT0|Q9VTT0_DROME Semaphorin 5c_ isoform A OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=4 SV=3, Drosophila_melanogaster_tr_Q9U631_Q9U631_DROME tr|Q9U631|Q9U631_DROME Semaphorin 5C OS=Drosophila melanogaster OX=7227 GN=Sema5c PE=2 SV=1
