Orthogroup	Chordata_Vertebrata_Mus_musculus	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Mus_musculus_sp_Q61092_LAMC2_MOUSE sp_Q61092_LAMC2_MOUSE Laminin subunit gamma-2 OS=Mus musculus OX=10090 GN=Lamc2 PE=1 SV=2	Mnemiopsis_leidyi_ML035910a ML035910a
OG0000001	Mus_musculus_sp_Q9JI33_NET4_MOUSE sp_Q9JI33_NET4_MOUSE Netrin-4 OS=Mus musculus OX=10090 GN=Ntn4 PE=1 SV=2, Mus_musculus_sp_Q61087_LAMB3_MOUSE sp_Q61087_LAMB3_MOUSE Laminin subunit beta-3 OS=Mus musculus OX=10090 GN=Lamb3 PE=1 SV=2, Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2, Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Mus_musculus_sp_Q9R1A3_NET3_MOUSE sp_Q9R1A3_NET3_MOUSE Netrin-3 OS=Mus musculus OX=10090 GN=Ntn3 PE=2 SV=1, Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3, Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000003	Mus_musculus_sp_Q61361_PGCB_MOUSE sp_Q61361_PGCB_MOUSE Brevican core protein OS=Mus musculus OX=10090 GN=Bcan PE=1 SV=2, Mus_musculus_sp_P55066_NCAN_MOUSE sp_P55066_NCAN_MOUSE Neurocan core protein OS=Mus musculus OX=10090 GN=Ncan PE=1 SV=1, Mus_musculus_sp_Q61282_PGCA_MOUSE sp_Q61282_PGCA_MOUSE Aggrecan core protein OS=Mus musculus OX=10090 GN=Acan PE=1 SV=2, Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2, Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2	Mnemiopsis_leidyi_ML216321a ML216321a
OG0000003	Mus_musculus_sp_P43025_TETN_MOUSE sp_P43025_TETN_MOUSE Tetranectin OS=Mus musculus OX=10090 GN=Clec3b PE=1 SV=2, Mus_musculus_sp_Q9EPW4_CLC3A_MOUSE sp_Q9EPW4_CLC3A_MOUSE C-type lectin domain family 3 member A OS=Mus musculus OX=10090 GN=Clec3a PE=3 SV=1	Mnemiopsis_leidyi_ML01786a ML01786a
OG0000010	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000011	Mus_musculus_sp_P26928_HGFL_MOUSE sp_P26928_HGFL_MOUSE Hepatocyte growth factor-like protein OS=Mus musculus OX=10090 GN=Mst1 PE=2 SV=2, Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1, Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1	Mnemiopsis_leidyi_ML03051a ML03051a, Mnemiopsis_leidyi_ML10905a ML10905a
OG0000012	Mus_musculus_sp_Q6PZE0_MUC19_MOUSE sp_Q6PZE0_MUC19_MOUSE Mucin-19 OS=Mus musculus OX=10090 GN=Muc19 PE=2 SV=2, Mus_musculus_sp_Q80T03_MUC6_MOUSE sp_Q80T03_MUC6_MOUSE Mucin-6 OS=Mus musculus OX=10090 GN=Muc6 PE=2 SV=1, Mus_musculus_sp_Q80Z19_MUC2_MOUSE sp_Q80Z19_MUC2_MOUSE Mucin-2 _Fragment_ OS=Mus musculus OX=10090 GN=Muc2 PE=1 SV=2, Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2, Mus_musculus_sp_Q8CIZ8_VWF_MOUSE sp_Q8CIZ8_VWF_MOUSE von Willebrand factor OS=Mus musculus OX=10090 GN=Vwf PE=1 SV=2, Mus_musculus_sp_F7A4A7_OTOGL_MOUSE sp_F7A4A7_OTOGL_MOUSE Otogelin-like protein OS=Mus musculus OX=10090 GN=Otogl PE=1 SV=1, Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3, Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a
OG0000012	Mus_musculus_sp_O08523_TECTA_MOUSE sp_O08523_TECTA_MOUSE Alpha-tectorin OS=Mus musculus OX=10090 GN=Tecta PE=1 SV=2, Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1, Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a
